,aspect,opinion,negative,neutral,positive
0,Service,"our food came out pretty slowly... our waiter apologized for the insanity (which was nice), then when we ordered several appetizers said hed give one of them to us for free (even nicer!)... then the appetizer he said was free didnt come out until we reminded him after all our other appetizers had shown up (not so nice)",1,0,0
1,Food,"the food was excellent (though I wouldnt get a tajeen again. It was alright, it just totally wasnt what I was thinking I was ordering. Oops.) edit: Ive been back, the first time was confirmed to be a fluke. Service wasnt amazing, but it was far more reasonable. The food was just as tasty, including my not-a-tajeen entree.)",0,0,1
2,Food,"average, nothing to write home about, okay",1,0,0
3,Portions,unsatisfying,1,0,0
4,Service,"abysmal, could barely hear him speak",1,0,0
5,Value for money,overall just disappointing,1,0,0
6,Open Sesame,too crowded,1,0,0
7,Asha,"Determined to eat Mediterranean food, my party found Asha",0,0,1
8,Lamb,I loved the lamb,0,0,1
9,Service,Service was wonderful,0,0,1
10,Overall satisfaction,So pleased with this place,0,0,1
11,Lamb kababs,Excellent,0,0,1
12,Pistacchio baklava,nice finish to a pleasant meal,0,0,1
13,Overall satisfaction,One of my faves in Long Beach,0,0,1
14,Crowds,"Gets busy, which is a sign of great food",0,0,1
15,Pastilla,I recommend the pastilla,0,0,1
16,Royal asha,I recommend the royal asha,0,0,1
17,Pistacchio baklava,Topped off with pistacchio baklava,0,0,1
18,Coffee,Yummy coffee from the Greenhouse Cafe,0,0,1
19,Food,chicken swarma is pretty good,0,0,1
20,Bread,"Brick oven bread would be a nice option, but the pita bread is ok",0,1,0
21,Pita bread,"pita doesn't surround the contents so when you unwrap the foil and paper, you have to be careful it doesn't leak all over or fall out",1,0,0
22,Meat,The meat could be cut into thinner slices,1,0,0
23,Atmosphere,The atmosphere is about 3.5 stars but the quality of the food makes up for it,0,0,1
24,Restaurant,favorite,0,0,1
25,Overall satisfaction,my fave restaurant,0,0,1
26,Grape leaves,winner,0,0,1
27,Pistachio baklava,winner,0,0,1
28,Meat skewers,love,0,0,1
29,General food,I've never had anything I don't like,0,0,1
30,Lamb chops,delicious,0,0,1
31,Food,so great I would probably still go if it was a chain restaurant,0,0,1
32,Vegetarian options,lots of vegetarian options,0,0,1
33,Decor,"lush and modern with fuschia fabric draping the ceilings, gorgeous black and white photos on the wall, lots of candlelight, a mix of clear scandanavian chairs and plush pillowed benches and chrome tables",0,0,1
34,Service,Kristen was professional and knew the menu well but also relaxed and made us feel at home,0,0,1
35,Grape leaves,perfectly cooked,0,0,1
36,Chicken schwarma,served on a bed of delicious basmati rice,0,0,1
37,Lamb kabobs,perfectly done and also served on basmati rice,0,0,1
38,Asha salad,delectable and healthy salad,0,0,1
39,Vibe,love,0,0,1
40,Food,love,0,0,1
41,Service,love,0,0,1
42,Corking fee policy,no corking fee policy...Yay!!,0,0,1
