,aspect,opinion,negative,positive
0,Portion size,foofoo,1,0
1,Taste,pure deliciousness,0,1
2,Neighborhood pride,great date spot,0,1
3,Ambiance,I often by myself curled up early at the bar on cold foggy San Francisco nights enjoying a glass of red wine and a bowl of the crudo. ::happiness::,0,1
4,Reservations,This place doesn't respect reservations,1,0
5,Noise level,It's loud,1,0
6,Price,over priced,1,0
7,Fullness,will not make you full,1,0
8,Menu,Absolutely everything on the menu has at least some seafood in it,1,0
9,Food,the food was exquisite,0,1
10,Menu,"all seafood, all amazing",0,1
11,Oysters,delicious,0,1
12,Raw fish,delicious,0,1
13,Mussels,delicious,0,1
14,Octopus salad,delicious,0,1
15,Beer list,"gigantic, thoughtful",0,1
16,Belgian-style sour beer,"heroic son of champagne, cider, and a trippel",0,1
17,Mussels,my picks,0,1
18,Crudo plate,my picks,0,1
19,Furniture,"Standing desks are so yesterday, try standing dining tables",0,1
20,Food,"The food is unique, if a bit overpriced",0,1
21,Service,The service is prompt and polite,0,1
22,Noise level,It can get quite loud in here,1,0
23,Price,"Over priced, small portions for the price",1,0
24,Server,impatient,1,0
25,Ambiance,"place is tiny, gets pretty busy and it was just too much and too tight in there",1,0
26,Shrimp,average,1,0
27,Fish tacos,"Friends got fish tacos, they absolutely loved them",0,1
28,Recommendation,"Personally, would not dine there again and don't recommended it",1,0
29,Menu,seafood lovers paradise with a range from a simple but delicious tuna tartar to a delicious river trout,0,1
30,Louisiana prawns with peppers,favorite,0,1
31,Bread,Will definitely be back soon,0,1
32,Overall satisfaction,One of the best places I've been to in SF,0,1
33,Creativity,unbelievably creative,0,1
34,Raw seafood,fresh,0,1
35,Vegetables,fresh,0,1
36,Oils and infusions,original,0,1
37,Dining experience,unique,0,1
38,Oysters,Amazing blue point oysters,0,1
39,Chowder,Outstanding chowder,0,1
40,Happy hour,Check it out during their happy hour,0,1
41,Seafood Chowder,must,0,1
42,Oysters,can't beat the 1-dollar oysters during Happy Hour,0,1
43,Overall satisfaction,"This is probably my favorite restaurant in SF thus far, and that's saying a lot",0,1
44,Raw fish,"the crudo is fantastic, like melt in your mouth, close your eyes, savor every morsel, swaying to Puccini that's only playing in your mind, fantastic",0,1
45,Uni toast,really good,0,1
46,San sebastian,"my least favorite was the san sebastian (still very good), but it couldn't detract from how amazing everything else was",1,0
47,Kumamoto oysters,I want to try their Happy Hour too,0,1
48,Seafood restaurant,very unique,0,1
49,Oysters,fantastic,0,1
50,Raw fish,fantastic,0,1
51,Price,incredible deal,0,1
52,Beer list,impressive,0,1
53,Happy hour,great,0,1
54,Waiting in line,be prepared to wait in line,1,0
55,Crudo,very tasty,0,1
56,Food,simple and imaginative,0,1
57,Space,very small and intimate,0,1
58,Art,fun modern art,0,1
59,Place,great place for a special dinner,0,1
60,Crudo sampler,You must try,0,1
61,Happy hour,fun time to go,0,1
62,Space,open space makes it feel like you're eating dinner in a friend's kitchen,0,1
63,Seating,no bad seats,0,1
64,Bar,enjoying some crudo and oysters at the bar,0,1
65,Upper level,spicy head-on prawns on the upper level,0,1
66,Main dining room,incomparable and iconic bowl of seafood chowder in the main dining room,0,1
67,Dessert menu,no dessert menu,1,0
68,Oysters,encouraged to order another round of oysters,0,1
69,Waiting time,A bit of wait,1,0
