,aspect,opinion,negative,neutral,positive
0,Cookie,big cookie,0,0,1
1,Service,"I ordered a steak and no steak sauce was offered, I had to ask 3 different waiters until the original one brought by the time more than half my steak was gone",1,0,0
2,Asian chicken salad,"insipid, tasteless, we had to request additional dressing to try to fix which also took 2 waiters and 10 minutes to be brought by another server to our table",1,0,0
3,Value for money,Very pricy for mediocre food,1,0,0
4,Recommendation,"I do not recommend this restaurant, you will be disappointed",1,0,0
5,Overall satisfaction,the food is was good,0,0,1
6,Food,Everytime the food and service is getting worse!!!,1,0,0
7,Food,I take many clients for lunch to the one in Moreno Valley and 90% of the time get great food and service.,0,0,1
8,Food,"Befor the Menifee one opened we always went to the Temecula location which is great, as a family for birthdays or for dinners.",0,0,1
9,Food,"This Menifee BJs is closer to my office and house, BUT we drive to the orther ones now. Its worth the drive time!!!",1,0,0
10,Service,"When your dinner or lunch are brought out before your drinks and salads, we got a problem!!! not once but everytime.",1,0,0
11,Taste,"Food taste different and looks bad, we have a problem.",1,0,0
12,Pizza,Any thing other than the pizza is very mediocre,1,0,0
13,Service,Poor service long wait times,1,0,0
14,Service,Rude servers,1,0,0
15,Busyness,Can get busy,1,0,0
16,Service,"One blondy waitress throw some menu books into the tables and left. didnt wait for any drink orders, just left. Wait about 20 mints and got out for another restaurant",1,0,0
17,Hospitality,the guy from Europe kind of embarrassed about us standards of hospitality,1,0,0
18,Service,terrible with attitude from the servers,1,0,0
19,Food,It took one hour after ordering our food to let us know they were out of baked potatoes and chicken wings,1,0,0
20,Bathroom,out of tiolet paper and the hostess has a fit when I let her know,1,0,0
21,Quality of food,"3 times have gotten take out from here, and 3 times it has been incorrect",1,0,0
22,Quality of food,Tonight I finally decided to call,1,0,0
23,Quality of food,I spoke to Rich who apparently was the manager on duty as well as the waiter who waited on my family who was eating there,1,0,0
24,Quality of food,"I always order the same thing and always, NO SUN DRIED TOMATOES, not once have they gotten it right",1,0,0
25,Quality of food,Tonight as an added bonus I didnt even get the potatoes that come with the parmeasan crusted chicken,1,0,0
26,Customer service,"When speaking to Rich, he claimed to have taken the order as well as packed the order, and insisted that is how it was ordered and proceeded to argue with me about the order in addition to the initial attitude he had upon answering my call",1,0,0
27,Recommendation,"If one of my employees acted like this to a customer, they would not have a job!!!",1,0,0
28,Beer,decent,0,0,1
29,Employees,dumber than rocks,1,0,0
30,Food,decent,0,0,1
31,Pizza,best thing there,0,0,1
32,Crowds,Always crowded,1,0,0
33,Overall satisfaction,disappointed,1,0,0
34,Calamari,chewy,1,0,0
35,Pizzas,undercooked and raw at the bottom,1,0,0
36,Home brewed beers,tasty,0,0,1
37,Red beer,favorite,0,0,1
38,Overall satisfaction,Love this place,0,0,1
39,Restaurant,Just another chain restaurant,1,0,0
40,Food,OK food,0,1,0
41,Service,"Service is a little annoying, never really on top of it",1,0,0
42,Overall satisfaction,Decent place,0,0,1
43,Pizza,Decent place,0,0,1
44,Burgers,Decent place,0,0,1
45,Performance,Nothing spectacular,1,0,0
46,Discounts,no discounts,1,0,0
47,Seasonal selections,ask for their seasonal selections,0,0,1
48,Overall satisfaction,This place rocks,0,0,1
49,Place,clean and beautiful,0,0,1
50,Food,bad,1,0,0
51,chain restaurant feel,very polished but lacking a bit of character,1,0,0
52,food,very good quality for the price,0,0,1
53,Pizza,above average deep dish,0,0,1
54,Takeout,great for takeout,0,0,1
55,Oily,bit oily,1,0,0
56,Beer,lax consistency and quality,1,0,0
57,Beer,when its great it is great,0,0,1
58,Overall satisfaction,Great place to clean,0,0,1
59,Happy hour,the best,0,0,1
