,aspect,opinion,negative,neutral,positive
0,Waiting for a table,Go early or late or you'll be waiting quite awhile,1,0,0
1,Menu,gigantic,0,0,1
2,Coffee,yay,0,0,1
3,Standards,"anything with chorizo, waffles",0,0,1
4,Husband's opinion,likes the skillets and the benedicts,0,0,1
5,Busyness,Very busy and for good reason,0,0,1
6,Food,fast and delish,0,0,1
7,Staff,friendly,0,0,1
8,Wait time,The wait wasnt as long as we expected given the number of people waiting,0,0,1
9,Parking,Parking lot is packed but there seemed to be plenty of street parking nearby,0,0,1
10,Brunch,Great,0,0,1
11,Eggs benedict,delicious,0,0,1
12,Pancakes,delicious,0,0,1
13,Mimosas,great,0,0,1
14,Service,great,0,0,1
15,Ambiance,"Pretty crowded though, even at 2PM for brunch (on a Sunday, granted). I would expect to wait quite a bit at an earlier hour.",1,0,0
16,Breakfast,One of the best breakfast places,0,0,1
17,Overall satisfaction,one of the best,0,0,1
18,Overall satisfaction,Love love love this spot,0,0,1
19,Egg Benedicts,amazing,0,0,1
20,Mimosas,massive,0,0,1
21,First visit,great,0,0,1
22,Second visit,truly disappointed,1,0,0
23,Food,could taste better,1,0,0
24,Table,worth,0,0,1
25,Chances of returning,"who knows, 3rd times a charm right?!",0,1,0
26,Service,Significant drop in service,1,0,0
27,Food quality,Significant drop in food quality,1,0,0
28,Eggs Benedict,more like hard-boiled eggs,1,0,0
29,Eggs Benedict,love,0,0,1
30,Sandwiches,love,0,0,1
31,Breakfast,favorite place,0,0,1
32,Service,fast n friendly,0,0,1
33,Breakfasts,Best,0,0,1
34,Portion size,Huge,0,0,1
35,Brunch options,delicious,0,0,1
36,Rice pudding french toast,enjoy,0,0,1
37,Staff,patient and friendly,0,0,1
38,Service,great,0,0,1
39,Atmosphere,good place to spend your Saturday morning,0,0,1
40,Opportunity to eat at Bills Cafe,I don't have the opportunity to eat at Bills Cafe as much as I'd like,1,0,0
41,Food,excellent,0,0,1
42,Decor,excellent,0,0,1
43,Service,excellent,0,0,1
44,Prices,excellent,0,0,1
45,Hours,Its usually less busy after 1:30/2:00 but still early enough for brunch. Sadly they close at 3:00.,1,0,0
46,Food,Amazingly good,0,0,1
47,Service,great,0,0,1
48,Ambiance,great,0,0,1
49,Service,AMAZING service and friendly,0,0,1
50,Soup,"free soup with a sandwich or burger is always a plus, and the soup really good",0,0,1
51,Refills,"super prompt service, didnt even have to ask for refills on the soda or coffee",0,0,1
52,Outdoor patio,nice too for a diner,0,0,1
53,Food,great food,0,0,1
54,Price,reasonable prices,0,0,1
55,Food,excellent,0,0,1
56,Service,excellent,0,0,1
57,Eggs Benedict,amazingly delicious,0,0,1
58,Pancakes,amazingly delicious,0,0,1
59,Ambiance,love the ambiance,0,0,1
60,Parking,parking lot is packed but there seemed to be plenty of street parking nearby,1,0,0
61,Food,absolutely not spectacular,1,0,0
62,Breakfast selection,huge,0,0,1
63,Food,lacking in flavor,1,0,0
64,Value for money,The only saving grace is that they serve alcoholic breakfast beverages,0,0,1
65,Greek yogurt with honey and strawberries,I like it,0,0,1
66,Quality,Generally greasy and overpriced,1,0,0
67,Breakfast,not a terrible choice,0,1,0
68,Breakfast,"Fantastic, best breakfast in town",0,0,1
69,Overall satisfaction,"Fantastic place, great food and people",0,0,1
70,Prices,fair,0,0,1
71,Frequency,been going there for years,0,0,1
72,Favourite,my favorate place to eat,0,0,1
