,aspect,opinion,mixed,negative,positive
0,Price,Pricey ($30 entrees),0,1,0
1,Taste,tasty,0,0,1
2,Atmosphere,Great atmosphere,0,0,1
3,Crowdedness,way less crazy than the general Disney craziness,0,0,1
4,Menu,Menu is kind of limited,0,1,0
5,Price,"not a cheap place to eat, but still totally worth it",0,0,1
6,Food,mindblowingly good,0,0,1
7,Service,better than I remembered,0,0,1
8,Ambiance,feel of the place is probably better by dinner,0,0,1
9,Water view,"kind of a lame table-by-the-water, with a tree in between us and the boats, but still",0,1,0
10,Seating,Our party of five was seated without a reservation in 30 minutes (on a Saturday),0,0,1
11,Price,$30-40 plates for dinner,0,0,1
12,Ambiance,"the atmosphere is very enjoyable; the dining room set in forever-twilight joins the start of the pirates of the caribbean ride. There are swamp trees, crickets and bird songs a-plenty",0,0,1
13,Service,Our server was great and attentive,0,0,1
14,Food,"the food was very good, but does not measure up (for the price) to food outside the park",0,0,1
15,Value for money,"What you pay for is the ambiance, which was excellent",0,0,1
16,Reservations,I booked a reservation in January for March 3,0,0,1
17,Seating,"When we checked in I asked if we could request a table next to the water, but it would've been another 45-60 minute wait. Drats! However, to our delight, when we were called for seating, we had a lovely table next to the water!",0,0,1
18,Food,We both had the Buccaneer's Boneless Beef Short Ribs. They'll melt in your mouth and were absolutely wonderful!,0,0,1
19,Service,"Our waiter was friendly, professional and attentive.",0,0,1
20,Value,"People state this restaurant is over-priced, but compared to the horrible Steakhouse 55, this is a much better value with better quality food, and less pretension!",0,0,1
21,Check-in process,The only suggestion I could make is to improve the area for customers who have checked in and are awaiting seating.,0,1,0
22,Food,Good food,0,0,1
23,Price,$50 or more per person,0,1,0
24,Reservations,very hard to get a reservation,0,1,0
25,Dining spot,favorite,0,0,1
26,Food,great,0,0,1
27,Ambience,attraction adds to the ambience,0,0,1
28,Noise level,quiet and calm,0,0,1
29,Service,"Brian our server was kind, courteous and incredibly helpful",0,0,1
30,Environment,amazing,0,0,1
31,Food,The food was amazing,0,0,1
32,Front service,I was sorely disappointed by the snub I got,0,1,0
33,Food,amazing,0,0,1
34,Food,"pricey, but really good",1,0,0
35,Ease of getting a reservation,not very hard to go there you just have to make a reservation,0,0,1
36,Atmosphere,"great, if you don't mind waiting a little bit you can usually ask for a table next to the water",0,0,1
37,Food,great,0,0,1
38,Staff,friendly,0,0,1
39,Prices,outrageous,0,1,0
40,Ambiance,"Love the candle light dining, the smells coming from the place while you're outside just draw you in",0,0,1
41,Recommendation,Best to make a reservation if you go,0,0,1
42,Overall satisfaction,the best restaurant in disneyland,0,0,1
43,Waiting time,definitely worth the wait,0,0,1
44,Reservations,make a reservation in advance or you may have to wait for a while,0,1,0
45,Location,Very nice place in the French quarter of Disneyland,0,0,1
46,Reservation process,First we saw the place from the ' pirates of the Caribbean' ride and then made a reservation,0,0,1
47,Ambiance,Might be a little dark in there but overall great place!,0,0,1
48,Food,the food was really good,0,0,1
49,Staff,staff very friendly!,0,0,1
50,Table,Make sure you get a table closer to the water as closer to the entrance/exit it looses its whole idea of mysticism,0,0,1
51,Monte Cristo,excellent,0,0,1
52,Reservations,you can get reservations for Blue Bayou by calling 714-781-DINE (3463),0,0,1
53,Food,the only reason for eating there is for lunch now,0,1,0
54,Menu,a change that is not posted on the menu board in front of the restaurant,0,1,0
55,To-go food,they no longer offer food to go,0,1,0
56,Hostesses,rude hostesses at the desk,0,1,0
57,Price,Expensive,0,1,0
58,Wait time,long wait,0,1,0
59,Dining experience,most unique,0,0,1
60,Theme park,great to finally go to the Restaurant,0,0,1
61,Price,lower price,0,0,1
62,Food,good but not amazing,0,1,0
63,Value for money,not worth eating here,0,1,0
64,Menu,very small menu,0,1,0
65,Creativity,uncreative,0,1,0
66,Food,best steak we had ever had,0,0,1
67,Service,great and friendly,0,0,1
68,Ambiance,freezing in there,0,1,0
69,Overall satisfaction,excellent,0,0,1
70,Food,great,0,0,1
71,Service,great,0,0,1
72,Ride,great,0,0,1
