,aspect,opinion,negative,neutral,positive
0,Ambiance,casual friendly spot,0,0,1
1,Homemade extracts and sauces,nothing short of exceptional,0,0,1
2,Breakfast egg sandwich,favorite,0,0,1
3,Rosemary croissant,favorite,0,0,1
4,Aioli dressing,favorite,0,0,1
5,Service,"forgot about our coffee and after we finished our meals, they seemed a little irritated when I interrupted his moment texting and I asked for our coffee to go",1,0,0
6,Food,The food was good,0,0,1
7,Coffee,coffee was horrible,1,0,0
8,Overall satisfaction,I will never go back,1,0,0
9,Latte art,Portal latte art! Made to match a t-shirt...so cute :),0,0,1
10,Overall satisfaction,Love this place,0,0,1
11,People,nice people,0,0,1
12,Place to work,good place to work,0,0,1
13,Location,beautiful,0,0,1
14,Back patio,sunny,0,0,1
15,Nature/plant life,inviting,0,0,1
16,Barista,great,0,0,1
17,Art,great,0,0,1
18,Cafe,"Nice cafe to sit down, enjoy some good food and spend some quality time with friends",0,0,1
19,Waffle,"I had the waffle this morning for brunch, and I could literally bath in the fig reduction sauce that came with it. Yes, it was that tasty",0,0,1
20,Back patio,There's a back patio too if inside is crowded,0,0,1
21,Overall satisfaction,decent food,0,0,1
22,Vibe,only the Mission locals know about it,0,0,1
23,Special Dish,ehhhh?,1,0,0
24,Price Point,most of their dishes are under $12.00,0,0,1
25,Service,average but very nice people,0,0,1
26,Reservations,n/a,1,0,0
27,FYI,bring them bills because it's cahs only,1,0,0
28,Local cafe,great,0,0,1
29,Food,surprisingly delicious,0,0,1
30,Service,very friendly and helpful,0,0,1
31,Waffle,amazing fig reduction sauce,0,0,1
32,Staff,Inefficient,1,0,0
33,Art,Cool,0,0,1
34,Coffee,Standard,0,1,0
35,Bagel,six minute bagel to-go made me two minutes late and threw off an entire day,1,0,0
36,Breakfast food,Interesting,0,0,1
37,Middle Eastern flair,Interesting,0,0,1
