,aspect,opinion,mixed,negative,neutral,positive
0,Food,"quick, delicious",0,0,0,1
1,Sourdough bread,San Francisco staple,0,0,0,1
2,Clam chowder,San Francisco staple,0,0,0,1
3,Overall satisfaction,I love coming here and buying loafs of bread,0,0,0,1
4,Food,The food is great,0,0,0,1
5,Wait time,The wait isnt long,0,0,0,1
6,Location,location is ideal,0,0,0,1
7,Tourists,Packed with tourists but what would you expect,0,0,0,1
8,Brie,Fig and Brie is always a great pick,0,0,0,1
9,Overall satisfaction,"I love boudins, it is always good when I go and I am never disappointed",0,0,0,1
10,Tomato soup,delicious,0,0,0,1
11,Sandwich bread,to die for,0,0,0,1
12,Value for money,simple and delicious meal,0,0,0,1
13,Prime rib,high quality and the price is reasonable,0,0,0,1
14,Bread,Original San Francisco sourdough,0,0,0,1
15,Value for money,Its worth fighting the tourists,0,0,0,1
16,Clam chowder,"not the best place for clam chowder in the city, but does it satisfy my need for clam chowder? Absolutely.",0,0,0,1
17,Tabasco,a few dabs of tabasco,0,0,0,1
18,Sourdough,a few slices of that special sourdough,0,0,0,1
19,Deals,"They also have really good deals, like their Best of Boudin combo, which is soup and your choice of a salad or sandwich, for around $8 bucks.",0,0,0,1
20,Frequent buyers program,"I am part of the frequent buyers program, which allows me to get $3 off a meal, when you rack up enough points. It also entitles me a loaf of bread every month for a year.",0,0,0,1
21,Service,"If you don't tip, then expect your order to take a long time and missing items you paid for",0,1,0,0
22,Chicken salad sandwich,yummy,0,0,0,1
23,Clam Chowder,in the sourdough bread,0,0,0,1
24,Line,goes by really quickly,0,0,0,1
25,Service,apathetic at best,0,1,0,0
26,Chicken salad sandwiches,with grapes,0,0,0,1
27,Half Half special,worth it to try more things on the menu,0,0,0,1
28,It,a San Francisco company through and through,0,0,0,1
29,Chicken,Chicken cooked under a brick is how all chicken should be cooked,0,0,0,1
30,Waiter,"Waiter was good, giving us 2 of their sour dough French loaves for free as we left",0,0,0,1
31,Service,Fast service,0,0,0,1
32,Boudin,just okay,0,1,0,0
33,Butternut squash soup,pretty good,0,0,0,1
34,Cranberry sandwich,like,0,0,0,1
35,Salads,like,0,0,0,1
36,Price,affordable,0,0,0,1
37,Go-to place,not my go-to place,0,1,0,0
38,Chowder,"I always get the clam chowder (of course) and couple that with the spring salad- its mixed spring greens with candied walnuts, apples, dried cranberries, a bit of feta I believe all with a delicious balsamic vinaigrette. Its the perfect amount of food for a girl- youll be stuffed!",0,0,0,1
39,Atmosphere,way nicer (and yes more touristy) than anything youd find in Southern California. The menu is also a bit more expanded and they have these cute little bread statues everywhere.,0,0,0,1
40,Service,"I always go for the soup and salad combo, its solid and only a dollar or two more than the soup by itself.",0,0,0,1
41,Clam chowder,Not a fan,0,1,0,0
42,Window display of animals made of sourdough bread,love,0,0,0,1
43,Clam chowder soup,do die for,0,0,0,1
44,Atmosphere,inlike the one in fishermans wharf more because of the atmosphere but this place is really good as well,0,1,0,0
45,Chowder,crab chowder with Boudins famous sourdough bread,0,0,0,1
46,Restaurant,small rectangular restaurant that also fantastic for desert and people watching,0,0,0,1
47,Recommendation,I would highly recommend,0,0,0,1
48,First visit,Been here first time,0,0,0,1
49,Ambience,great,0,0,0,1
50,Crowded,"Too crowded though, many people wanna try the bread bowl",0,1,0,0
51,Food,Food was awesome,0,0,0,1
52,Location,Easy to find,0,0,0,1
53,Cranberry turkey sandwich,Very delicious,0,0,0,1
54,Coffee,Average,0,0,1,0
55,Clam chowder bread bowl,love their clam chowder bread bowl,0,0,0,1
56,Clam chowder,Very seasoned clam chowder,0,0,0,1
57,Sandwiches,"Sandwiches are ok, I would rather just go somewhere else for a better sandwich",0,1,0,0
58,Staff,The staff are nice,0,0,0,1
59,Service,The service is really fast,0,0,0,1
60,Overall satisfaction,so good,0,0,0,1
61,Tourist trap,Total tourist trap,0,1,0,0
62,Food,Great place to stop by for a bite to eat,0,0,0,1
63,Bread bowls,amazing,0,0,0,1
64,Salads,Great,0,0,0,1
65,Sandwiches,Great,0,0,0,1
66,Soups,"Delicious, freshly-made",0,0,0,1
67,Breadbowls,a must,0,0,0,1
68,Sandwiches,great,0,0,0,1
69,Interior,quite cool,0,0,0,1
70,Sourdough bread,amazing,0,0,0,1
71,Bread bowls,worth trying,0,0,0,1
72,Clam chowder,"great for the bay area, but cant compete with the chowder from New England",0,0,0,1
73,Entertainment value,watching the factory make the bread is very entertaining,0,0,0,1
74,Bread,excellent,0,0,0,1
75,Sandwiches,Tasty,0,0,0,1
76,Sandwiches,certainly very fresh,0,0,0,1
77,Selection,bigger selection downstairs,0,0,0,1
78,Bread animals,cool,0,0,0,1
79,Clam chowder,pretty okay,0,1,0,0
80,Value for money,alright,0,1,0,0
81,Place,Great place to relax after a long walk,0,0,0,1
82,Clam chowder,Have your clam chowder in a sour dough bowl,0,0,0,1
83,Food,Very good food,0,0,0,1
84,Chowder,Cant beat the chowder in a bread bowl,0,0,0,1
85,Overall satisfaction,This amazing shop has everything that can satisfy me,0,0,0,1
86,Bread,amazing bread that will stuff you,0,0,0,1
87,New England style clam chowder,hot and delicious,0,0,0,1
88,Bread bowl,great,0,0,0,1
89,Grilled cheese,great,0,0,0,1
90,Soup,great,0,0,0,1
91,Overall experience,great place to eat,0,0,0,1
92,Clam chowder and bread bowl,famous,0,0,0,1
93,Work location,curse and blessing,1,0,0,0
94,Pier 39 lunch options,"better, less greasy",0,0,0,1
95,Grilled cheeses,decent,0,0,0,1
96,Tomato soup,decent,0,0,0,1
97,Turkey havarti sandwiches,delish,0,0,0,1
98,Sourdough bread,delish,0,0,0,1
99,Prices,high,0,1,0,0
100,Menu,tiring,0,1,0,0
101,Recommendation,yes,0,0,0,1
102,Food,good,0,0,0,1
103,Bread,good,0,0,0,1
104,Ambiance,not very good for sitting,0,1,0,0
105,Renovations,they need some renovations,0,1,0,0
106,Clam chowder,best in town,0,0,0,1
107,Bread bowl,best in town,0,0,0,1
108,Hype,lots of hype,0,1,0,0
109,Sandwiches,nice,0,0,0,1
110,Grilled cheese,not amazing,0,1,0,0
111,Bread,delicious,0,0,0,1
112,"Macaroon, Raspberry & Hot Chocolate",A+,0,0,0,1
113,Food,decent,0,0,0,1
114,Service,adequate,0,0,0,1
115,Sourdough bread,love,0,0,0,1
116,Clam chowder,good,0,0,0,1
117,Chicken salad sandwich,liked,0,0,0,1
118,Price,more pricey than I remembered but still good. A lunch for 2 was about $20,0,1,0,0
119,Bread,"Bread made fresh daily, as tourists walk by bakers kneading bread behind the windows. Some of the best bread in the world, worth the carbs!",0,0,0,1
