,aspect,opinion,negative,neutral,positive
0,Food,tastes good,0,0,1
1,Price,not sure its priced correctly,1,0,0
2,First experience,phenomenal,0,0,1
3,Bf's experience,burger was bland,1,0,0
4,Customer service,great,0,0,1
5,Food,good,0,0,1
6,Dessert,hit the spot,0,0,1
7,Service,Great service,0,0,1
8,Food,Great food,0,0,1
9,Overall satisfaction,Better than Roscoes Chicken and Waffles,0,0,1
10,Food,Awesome,0,0,1
11,Waffles,incredible,0,0,1
12,Food,The waffle sandwiches are great,0,0,1
13,Recommendation,I recommend this place,0,0,1
14,Price,"The food is not cheap fast food, but thats a good thing",0,0,1
15,Ambiance,I have been to both the original Bruxie in old town Orange and the one in Brea and they are both packed every day,0,0,1
16,Patty melt,The waffle bun on the patty melt was nice and crisp and complimented the grilled onions on the Angus patty perfectly,0,0,1
17,Strawberry lemonade,The strawberry lemonade was to die for,0,0,1
18,Overall satisfaction,Ill certainly go back again,0,0,1
19,Desserts,I didnt try any of the desserts,0,1,0
20,Sandwich,my sandwich was great,0,0,1
21,Waffle,The waffle was great because it didnt get soggy from the dressing,0,0,1
22,Ambiance,It did get kind of crowded (went around 6 or 7pm) so I suppose if you come at a busy time you might not be able to get a seat,1,0,0
23,Selection,Great,0,0,1
24,Bacon Cheddar Burger,My fav,0,0,1
25,Pastrami,close second,0,0,1
26,Location,"If you are in or near Orange, you have got to stop by",0,0,1
27,Food,Great food,0,0,1
28,Price,Pricey but worth it as a nice treat,0,0,1
29,Pumpkin shake,So worth it,0,0,1
30,Green eggs and ham,So worth it,0,0,1
31,Irish nachos with fried chicken,So worth it,0,0,1
32,Nutella and banana,So worth it,0,0,1
33,Overall satisfaction,Definitely coming back,0,0,1
34,Overall satisfaction,5 stars all the way,0,0,1
35,Waffles,"deliciously crispy, yet fluffy waffle sandwiches",0,0,1
36,Service,excellent,0,0,1
37,Heat lamps,for their outdoor only seating,0,0,1
38,Restrooms,No restrooms for paying customers,1,0,0
39,Overall satisfaction,Great place to eat overall,0,0,1
40,Value for money,Most items are worth the money,0,0,1
41,Fried chicken,mediocre,1,0,0
42,Smores Bruxie,pretty weak,1,0,0
43,Hot Pastrami Bruxie,absolutely delicious,0,0,1
44,Crème brûlée Bruxie,awesome dessert,0,0,1
45,Service,great,0,0,1
46,Staff,friendly,0,0,1
47,Seasonal Creme Brulee with Strawberries,phenomenal,0,0,1
48,Irish nachos,favorites,0,0,1
49,Strawberry Lemonade,favorites,0,0,1
50,Service,"Friendly, fast service",0,0,1
51,Food,Unique food,0,0,1
52,Atmosphere,Unique atmosphere,0,0,1
53,Overall experience,fun place to go and meet people,0,0,1
54,Person,BILL is the coolest person here,0,0,1
55,Creme brulee,Amazing,0,0,1
56,Custard and soda,amazing,0,0,1
57,Food,Great food,0,0,1
58,Atmosphere,good atmosphere,0,0,1
59,Price,a bit overpriced,1,0,0
60,Overall satisfaction,This is good,0,0,1
61,Taste,Definitely something that you must try,0,0,1
62,Concoctions,Incredible,0,0,1
63,Speed,They get through the line fast,0,0,1
64,Effectiveness,will certainly help you start your day on the right food,0,0,1
65,Waffles,one bite quickly changed my mind. Food is delicious,0,0,1
66,Line,moves very quickly,0,0,1
67,Seating,biggest problem we had was in finding seating as it does get very busy,1,0,0
68,Overall satisfaction,Not impressed at all,1,0,0
69,Impact,fails,1,0,0
70,Clientele,you'll know what kind of pretentious place it is,1,0,0
71,Value for money,food isn't too impressive for the price,1,0,0
