,aspect,opinion,negative,neutral,positive
0,Meal size,Really good sized,0,0,1
1,Food,food was awesome,0,0,1
2,Pizza,slightly greasy,1,0,0
3,Waiter,topnotch,0,0,1
4,Service,good,0,0,1
5,Food,good but not real authentic Italian food,0,0,1
6,Price,a bit pricey,1,0,0
7,Garlic bread/knots,Simply Love,0,0,1
8,Rudeness of staff,The woman there was extremely rude and refused to give her a take out menu,1,0,0
9,Food,"Our hunger satisfied, we still had a lot of pizza left",0,0,1
10,Sharing,When youre in line with other people you share you food and thats what we did,0,0,1
11,Target audience,Best left to tourists who eat in malls,1,0,0
12,Portion size,ridiculous,1,0,0
13,Service,ridiculously good,0,0,1
14,Uniqueness,Very unique italian food experience,0,0,1
15,Carry out,ready in 15 minutes,0,0,1
16,Gluten free selections,good,0,0,1
17,Knowledgeable about food allergies,ill be back,0,0,1
18,Restaurant,amazing,0,0,1
19,Dinner,Perfect for family style dinner,0,0,1
20,Portion size,very large,0,0,1
21,Food,acceptable,0,0,1
22,Food,Not the best Italian food in the world but not the worst,0,1,0
23,Authenticity,trying to serve authentic food,0,1,0
24,Value,good place,0,0,1
25,Parking,atrocious,1,0,0
26,Decor,great,0,0,1
27,Food,like the food here but I think it used to be better a few years ago,1,0,0
28,Manicotti,Love,0,0,1
29,Stuffed shells,Love,0,0,1
30,Dining,Family-style,0,0,1
31,Food,good (average),0,0,1
32,Service,generally very good,0,0,1
33,Family-style,ideal for large groups without running racking up a huge ticket,0,0,1
34,For this reason,ideal for groups and fine for children,0,0,1
35,Food,Good home style italian grub,0,0,1
36,Portion size,huge portions,0,0,1
37,Atmosphere,fun place to take someone on a date,0,0,1
