,aspect,opinion,negative,neutral,positive
0,Atmosphere,nice,0,0,1
1,Food,heart-attack inducing,1,0,0
2,Bacon cheeseburger with garlic curly fries,good,0,0,1
3,Value for money,one-time venture,0,0,1
4,Guinness on tap,Fantastic,0,0,1
5,Sweet potato fries,Fantastic,0,0,1
6,Burger,Fantastic,0,0,1
7,Burgers,Amazing,0,0,1
8,Overall satisfaction,Love this place,0,0,1
9,Burgers,great burgers,0,0,1
10,Outdoor patio seating,cozy,0,0,1
11,Mood lighting,nice,0,0,1
12,Selection of beers,decent,0,0,1
13,Spicy guacamole burger,pretty much heaven in a bun,0,0,1
14,Sweet potato fries,pretty much heaven in a bun,0,0,1
15,Food,Good,0,0,1
16,Service,can take a while unless you have a big party,1,0,0
17,Food,Yummy!,0,0,1
18,Garlic fries,super garlicky,0,0,1
19,Probability of returning,I would definitely eat here again if I was in the area,0,0,1
20,First impressions,unassuming at first,0,0,1
21,The burger,sets standards,0,0,1
22,Ingredients,first rate,0,0,1
23,Service,great,0,0,1
24,Prices,somewhat high for an undergrads budget,1,0,0
25,Value,reflect excellent value,0,0,1
26,Recommendation,I highly recommend this place,0,0,1
27,Burgers,best burger of my life,0,0,1
28,Sweet potato fries,Best,0,0,1
29,Burgers,both have been good,0,0,1
30,Dogs,both have been good,0,0,1
31,Service,"haven't had bad service here, so to speak, but I haven't had great service either",0,1,0
32,Chili dogs,pretty good,0,0,1
33,Sitting outside on the side porch,favorite place to sit,0,0,1
34,People watching of those in the park,enjoy,0,0,1
