,aspect,opinion,negative,neutral,positive
0,Atmosphere,The patio is a great atmosphere,0,0,1
1,Food,I just had drinks so I can't comment on the food,0,1,0
2,Overall satisfaction,Good pub,0,0,1
3,British pub,the best,0,0,1
4,Overall satisfaction,Just a cool place that's been apart of the hollywood scene forever,0,0,1
5,Decor,open and hip,0,0,1
6,Service,good,0,0,1
7,Eggs Benedict with crab,ROCK,0,0,1
8,Overall satisfaction,"Very, very good place",0,0,1
9,Atmosphere,Amazing atmosphere,0,0,1
10,People,cool people,0,0,1
11,Space,Huge warm space,0,0,1
12,Date,Good for a date,0,0,1
13,Company,big companis,0,0,1
14,Talk,a nice talk,0,0,1
15,Location,I work right across the street,0,0,1
16,Patio,Love sitting outside on the patio,0,0,1
17,Food,Food is very good,0,0,1
18,Discounts,They give us 15% off with the PCD discount card from our building,0,0,1
19,Owner,I met the owner whos name is Ashley and now she always comes over and says hi to us if she's there,0,0,1
20,The Cat,The Cat continues to be the unrivaled go-to place for our office,0,0,1
21,Food,good,0,0,1
22,Service,slow,1,0,0
23,Courtyard beer garden,"Lovely place to be with friends in the sunshine, even greater as the evening draws in and all the pretty lights twinkle on",0,0,1
24,Food,great,0,0,1
25,Price,good,0,0,1
26,TV,no LOUD TV thank goodness,0,0,1
27,Waiter,friendly,0,0,1
28,Outdoor seating,Sit outside and people watch on the weekends. The patio is very nice.,0,0,1
29,Indoor seating,Inside is a little cramped.,1,0,0
30,Outdoor patio,perfect place to relax with good food and great drinks,0,0,1
31,Local band,wrapping up,0,0,1
32,Fish tacos,awesome,0,0,1
33,Dayna,friendly and fun,0,0,1
34,Staffing,lack of sufficient staffing,1,0,0
35,Place,Nice place. Good place. Beautiful setting.,0,0,1
36,Atmosphere,Come here with friends and lounge in the courtyard under the twinkly lights,0,0,1
37,Darts,stiff competition inside,0,0,1
38,Area,When I visited this area this place seemed perfect for a relaxed drink,0,0,1
39,Ambiance,The ambiance in the small garden area was great,0,0,1
40,Service,no service WTF the place was empty its Sunday,1,0,0
41,Pet friendliness,Sat down in the patio with my dog because they say they are pet friendly,0,0,1
