,aspect,opinion,negative,neutral,positive
0,Compositions,hearty to say the least,0,0,1
1,Savory crepes,stuffed to the brim with ingredients,0,0,1
2,Prices,extremely reasonable given the sheer volume of food you receive,0,0,1
3,Crepes,The crepes themselves are tasty if a tiny bit on the bland side,1,0,0
4,Seating arrangement,"aggressive... they pack a lot of people into their space, so dont count on any measure of privacy while dining",1,0,0
5,Service,pretty quick,0,0,1
6,Food,"Excellent, tasty creative food perfect for breakfast, lunch or dinner",0,0,1
7,Crowds,The place was super crowded but they arranged a table for us by the time we finished ordering,1,0,0
8,Savory crepes,Excellent,0,0,1
9,Pricing,reasonably priced portions,0,0,1
10,Brunch,Good option for a Sunday brunch / breakfast on a weekend,0,0,1
11,Opening hours,Opening early and closes late,0,0,1
12,Location,much needed in this quaint part of town,0,0,1
13,Sweet crepe: The Sunset,most amazing,0,0,1
14,Sweet crepe: The Sunset,Wow,0,0,1
15,Sweet crepe: The Sunset,good,0,0,1
16,Crepes,delicious,0,0,1
17,Sauces,really great and flavorful,0,0,1
18,Portion size,good,0,0,1
19,Potatoes,Potatoes > fries,0,0,1
20,Dessert,splendid,0,0,1
21,Atmosphere,could be better but for a casual meal this was awesome,1,0,0
22,Overall experience,will definitely be returning,0,0,1
23,Crepes,"dry, overcooked and tasteless like cardboard",1,0,0
24,Frozen defrosted strawberries,had no flavor,1,0,0
25,Quality of crepes,exactly the same,1,0,0
26,Place,this place will do well,0,0,1
27,Sunday brunch,super popular at this time,0,0,1
28,Staff,very organized and efficient,0,0,1
29,Sweet crepe,delicious,0,0,1
30,Salad,very pleasant,0,0,1
31,Food quality,great,0,0,1
32,Portion sizes,quite large,0,0,1
33,Crepes,good,0,0,1
34,Scrambles,enjoy,0,0,1
35,Seating,decent amount,0,0,1
36,Location,ideal for a morning stroll down Castro street or Sunday morning farmers market,0,0,1
37,Light walk from the Caltrain/VTA station or a variety of residential communities,positive,0,0,1
38,Overall satisfaction,Crepevine totally rules,0,0,1
39,Selection of crepes,excellent selection of savory and sweet crepes among plenty of other options,0,0,1
40,Wait time,"Sometimes there can be a bit of a wait, but its worth it",1,0,0
41,Menu,"The menu is versatile that you can count on it for breakfast, lunch or dinner without worrying about retreading the same culinary ground",0,0,1
42,Line,moved faster than I'd thought,0,0,1
43,Selection,excellent,0,0,1
44,Dish,cant wait to come back and try some of their other selections,0,0,1
45,Service,Poor service,1,0,0
46,Breakfast,OK breakfast,0,1,0
47,Location,small and easily crowded,1,0,0
48,Ordering process,one of us had to maneuver our way through a crowded line of people to pick up our order,1,0,0
49,Food,"I enjoyed my Denver Omelet, but the potatoes that came with it were more like potatoes you would eat with a dinner meal. Additionally, they were pretty undercooked. I would have preferred a fried potatoes option too.",1,0,0
50,To-go order,fruit was missing from our order,1,0,0
51,Overall satisfaction,clusterf***,1,0,0
52,Waiting system,They could benefit from a waiting system,0,0,1
53,Waits,Long,1,0,0
54,Crepes,taste like cardboard,1,0,0
55,Food,Awesome food,0,0,1
56,Service,friendly service,0,0,1
57,Meal,satisfying,0,0,1
58,Mango Wango,Must try,0,0,1
59,Food,Very good food,0,0,1
60,Hours,stays open until late (midnight) even on weekends,0,0,1
61,Plates,for one person,0,0,1
62,Variety,"many different options among sandwiches, crepes and salads",0,0,1
63,Draft beers,nice variety,0,0,1
64,Service,ridiculously slow,1,0,0
65,Location,somewhat in the middle,0,0,1
66,Brunch,perfect to get brunch,0,0,1
67,Wait time,long line if you dont come early enough,1,0,0
68,Serve time,best time to come is around 10:00-10:30 AM,0,0,1
69,Variety,serve variety of breakfast food,0,0,1
70,Crepes,cant go wrong with the crepes,0,0,1
71,New Orleans Eggs Benedict,Its basically Eggs benedict served with cajun sauce. Delicious.,0,0,1
72,Tuscany crepe,delicious,0,0,1
73,Ambiance,"Very nice place early in the morning, when its not crowded yet",0,0,1
74,Tuscany crepe,amazing,0,0,1
75,Food quality,pretty good,0,0,1
76,Crowd,The drawback is the crowd,1,0,0
77,Noise,And the noises it created. People seemed to be tense without knowing it just because the noise level is so high,1,0,0
78,Breakfast,"Excellent, tasty",0,0,1
79,Eggs Benedict,"with avocado, tomatoes, onions - highly recommend",0,0,1
80,Place,Pleasant place to have lunch,0,0,1
81,Tuscany crepe,tasted good,0,0,1
82,Service,fine,0,0,1
83,Crepes,Great selection of well-prepared crepes from sweet to savory which do not lack in fillings,0,0,1
84,Ambiance,"Came in on a Saturday early afternoon while it was packed, but had no problem getting a table after waiting on line to place our order",0,0,1
85,Food,decent enough to return to twice on one trip,0,0,1
86,Food,ruthlessly efficient and so cover turnover is high,0,0,1
87,Seating process,"you stand in line with your menu, pick and pay for your food and then they help find you table and bring you food and drinks",0,0,1
88,Food,nothing special and the portions are ridiclous,1,0,0
89,Pancake,highlight of my first visit,0,0,1
90,Huevos Rancheros,good,0,0,1
91,Fries,liked the fries,0,0,1
92,Club sandwich,a little boring and tasteless,1,0,0
93,Opening hours,late opening hours,0,0,1
