,aspect,opinion,negative,neutral,positive
0,Overall satisfaction,loved it,0,0,1
1,Overall satisfaction,Great spot,0,0,1
2,Music,If you like banda,0,0,1
3,Food,good food,0,0,1
4,Service,excellent service,0,0,1
5,Cleanliness,clean,0,0,1
6,First time,amazing,0,0,1
7,Size,small,1,0,0
8,Crowds,can get crowded,1,0,0
9,Menu,Good Variety,0,0,1
10,Return,Cant wait to return,0,0,1
11,Cleanliness,Clean place,0,0,1
12,Food,excellent food,0,0,1
13,Micheladas,perfect,0,0,1
14,Seafood and Sushi,bom,0,0,1
15,Service,great,0,0,1
16,Ambiance,place is always packed,0,0,1
17,Live music,Tight,0,0,1
18,Server,best server ever,0,0,1
19,Service,Hustled to take care of us,0,0,1
20,Tipping,Make sure you tip her she earns her keep,0,0,1
21,Food,Good food,0,0,1
22,Women,beautiful women,0,0,1
23,Sushi,not what Im used to,1,0,0
24,Service,ok,0,1,0
25,Music,weird the man with the Mic kept following a certain group of people,1,0,0
26,Ceviche,good,0,0,1
27,Mexican menu,"mariscos, not sushi",0,0,1
28,Food,Great,0,0,1
29,Music,love this place,0,0,1
30,Service,bad service,1,0,0
31,Order,gave me the wrong order,1,0,0
32,Wait,long wait,1,0,0
33,Culichi roll,Didnt like the the culichi roll,1,0,0
34,Recommendation,I DONT RECOMMEND IT AT ALL SPECIALLY THE ONE IN FONTANA CA IT SUCKS!!!!,1,0,0
