,aspect,opinion,negative,positive
0,Price,Expensive,1,0
1,Menu,not cheap,1,0
2,Meals,not big,1,0
3,People who have wrote reviews,stupid,1,0
4,Rent,every Business Owner in the area is paying TWICE THE RENT,1,0
5,Joseph,Your dad didnt Have to care,1,0
6,Ogden UTAH,NO WHERE,1,0
7,RENT,RENT IS CHEAPPPPPPPPPPPPP,0,1
8,Dennys on Mission,SERVICE IS GREAT!!! FOOD IS GOOD ! Its Dennys. 24 Hr. Fast meals,0,1
9,Food,I get my food free,0,1
10,Mom,My mom is the manager,0,1
11,Service,incredibly slow,1,0
12,Staff,rude staff,1,0
13,Security,rude security,1,0
14,Ambiance,you do get to sit next to homeless people who make it their bedrooms toward 11pm and onward,1,0
15,Food,"sometimes good, sometimes cold..but almost always never exactly what you actually asked for",1,0
16,Overall satisfaction,"WORST Dennys experience Ive had, by far!",1,0
17,Table cleanliness,dirty table with a crumbled up paper towel on the side and what looked like re-rolled napkins around silverware,1,0
18,Table cleanliness,USED napkin with egg yolk smeered & dried on it,1,0
19,Table cleanliness,spoon also had pieces of napkin stuck on it what what seemed to be a previous visit,1,0
20,Table cleanliness,ALSO napkin pieces stuck to my plate,1,0
21,Service,"Our waitress only came to take our order and bring or food, (and the receipt once we were done of course) and once we got out food",1,0
22,Price,A bit overpriced,1,0
23,Food,greasy,1,0
24,Portion size,huge,0,1
25,Hours,open 24/7,0,1
26,Service,service was really good now,0,1
27,Staff,changed the Staff to improve the service,0,1
28,Food,I am really Happy with the service and the Food,0,1
29,Food,Descent late-night food,0,1
30,Service,Inconsistant service,1,0
31,Best for,tourists and families,0,1
32,Great place to go,after a movie at Metreon or SF City Center,0,1
33,Best for,walking or public transport,0,1
34,Overall satisfaction,Denny is the best place ever,0,1
35,Food,Food is good,0,1
36,Breakfast,Best breakfast,0,1
37,Speed of service,took FOREVER to get my food,1,0
38,Price,food is good for what I paid for,0,1
39,Staff,Staff was nice,0,1
40,Service,Ghetto as hell service crappy,1,0
41,Dishes,dishes dirty,1,0
42,Ambiance,The place was a mess,1,0
43,Food,Its ok but not so apetizing,1,0
44,Food portions,would have been perfect if I was 4 years old,1,0
45,Tables and menus,"desperately needed a visit from Dawn, Mr Clean, or Simple Green",1,0
46,Cell phone,They took out the outlets for your laptop and cell phone,1,0
47,Food,I found a very long red hair in my pancake,1,0
48,Food,"not just in many pancake, but it was cooked and mixed in the batter",1,0
49,Breakfast,Good breakfast options,0,1
50,Will visit again,will certainly visit again,0,1
51,Dreamforce 2012 breakfast,dropped a notch,1,0
