,aspect,opinion,negative,neutral,positive
0,Cantonese-style food,delicious,0,0,1
1,Classics,cant go wrong,0,0,1
2,Sweet and sour spareribs,check,0,0,1
3,Walnut prawns,check,0,0,1
4,Fried rice,check,0,0,1
5,Peking duck,check,0,0,1
6,Service,laggy,1,0,0
7,Food,rubbery,1,0,0
8,Food,"the food is fair, prices extremely reasonable",0,0,1
9,Cleanliness,relatively clean for a chinatown restaurant,0,0,1
10,Portion size,the portions are slightly smaller than i would like,1,0,0
11,Wait time,Make sure to build in some time for the wait,1,0,0
12,Food,food is ok,0,1,0
13,Dim sum,love to dim sum,0,0,1
14,Crowds,always crowded,1,0,0
15,Variety of dim sums,have variety of dim sums to choose from,0,0,1
16,Location,convenient location if you work at financial dist,0,0,1
17,Location,in the heart of Chinatown,0,0,1
18,Seafood,"awesome, wonderful seafood",0,0,1
19,Dim sum,superb,0,0,1
20,Atmosphere,it’s always crouded especially since Obama stoppd in in 2012 and decor is minimal,1,0,0
21,Prices,prices are cheap considering the high quality food,0,0,1
22,Menu,"Wonderful, varied",0,0,1
23,Barbecued pork,best I've tasted,0,0,1
24,Atmosphere,"Super fun, and a little crazy",0,0,1
25,Food,Very solid food,0,0,1
26,Overall satisfaction,Cant go wrong,0,0,1
27,Dim sum,decent,0,0,1
28,Price,reasonable,0,0,1
29,Preference,I still prefer Koi Palace in Daly City though,1,0,0
30,Prawns,good,0,0,1
31,Service,terrible,1,0,0
32,Chicken Chow Fun,tasted pretty good,0,0,1
33,Honey Walnut Prawns,tasted pretty good,0,0,1
34,Pot Stickers,tasted pretty good,0,0,1
35,Water service,couldnt get water to save our lives,1,0,0
36,Service,One plate coming at each time. 5 to 10 min before each next,1,0,0
37,Food,average,1,0,0
38,Food,The food there is not as good as R & G Lounge,1,0,0
39,Size,The restaurant is big and accommodate many people,0,0,1
40,Decor,Decor is not that good,1,0,0
41,Service,Service is just o.k,1,0,0
42,Dim sum,Some of the best,0,0,1
43,Cantonese restaurant,Can do traditional,0,0,1
44,Ingredients,fresh,0,0,1
45,Value,good,0,0,1
46,Live seafood,decent,0,0,1
47,Dim sum lunch,decent,0,0,1
48,Location,China Town,0,0,1
49,Dim sum,Best,0,0,1
50,Interior,remodeled and looks great inside,0,0,1
51,President Obama,President Obama had eaten here,0,0,1
52,Picture menu,nice that they give you (upon request) a picture menu so you know what you are ordering,0,0,1
53,Food,food is very good,0,0,1
54,Price,price is reasonable for dim sum,0,0,1
55,Food,excellent,0,0,1
56,Culture experience,excellent,0,0,1
57,Location,right in Chinatown,0,0,1
58,Recommendation,Highly recommended,0,0,1
59,9 course Chinese banquet,best of any SF restaurant,0,0,1
60,Value for money,great value for a large group,0,0,1
61,Filler dishes,few filler dishes,0,0,1
62,Service,Fast service,0,0,1
63,Carts,no carts,1,0,0
64,Dim sum,Great dim sum,0,0,1
65,Dim sum,Fantastic,0,0,1
66,Price,very reasonably priced,0,0,1
67,Overall satisfaction,excellent lunch,0,0,1
68,Likelihood to return,would definitely go again,0,0,1
69,Menu,very extensive,0,0,1
70,Sauteed string beans,yummy,0,0,1
71,Thai BBQ fish,yummy,0,0,1
72,Panfried noodles with chicken,yummy,0,0,1
73,Lo mein,accidentally ordered,1,0,0
74,Service,just OK,1,0,0
75,Food,Great food,0,0,1
76,Price,decent prices,0,0,1
77,Staff,staff isnt the most attentive but not any worse than most other dim sum places,1,0,0
78,Overall satisfaction,Good go to dim sum place,0,0,1
79,Overall satisfaction,Mediocre,1,0,0
80,Service,waiter was polite but not a bit attentive,1,0,0
81,Dish,crab was very flavorful and tasty,0,0,1
82,Dish,rice was as good as youd expect from a good Chinese restaurant,0,0,1
83,Menu,menu is way too long,1,0,0
84,Restrooms,restrooms were very nasty,1,0,0
85,Carpet,carpet going down to the restrooms were beyond nasty and repulsive,1,0,0
