,aspect,opinion,negative,neutral,positive
0,Size,This place is tiny,1,0,0
1,Coffee,amazing,0,0,1
2,Food,uniformly delicious,0,0,1
3,Waffles,"one rotating waffle per day, and Ive never been disappointed with the selection",0,0,1
4,Smoked salmon plate,"The best way to do Guerilla, in my opinion, is to go with two people and split a savory option and a sweet option for the best of both worlds",0,0,1
5,Service,rude every time,1,0,0
6,Menu,never have anything on their menu,1,0,0
7,Food and drinks,good,0,0,1
8,Service,slow,1,0,0
9,Vibe,uber-hip,0,0,1
10,Friendliness,"sometimes friendly, other times aloof",0,1,0
11,Time to get hot chocolate,20 minutes,1,0,0
12,Atmosphere,awesome rasta vibe,0,0,1
13,Breakfast food,Really good,0,0,1
14,Wait time,can stand the wait,0,0,1
15,Service,Great service,0,0,1
16,Waffles,Great waffles,0,0,1
17,Price,super reasonable for the quality,0,0,1
18,Prosciutto plate,delicious,0,0,1
19,Poached eggs,delicious,0,0,1
20,Coffee,Blue Bottle Coffee from french press by the cup or mid sized press reasonably priced,0,0,1
21,Ambiance,"Funky and leftie themed, pleasant",0,0,1
22,Food,yummy food,0,0,1
23,Sidewalk seating,positive,0,0,1
24,Waffles,done perfectly,0,0,1
25,Availability,only served in the morning (til 1pm?),1,0,0
26,Staff,friendly,0,0,1
27,Music,nice,0,0,1
28,Paninis,big fan,0,0,1
29,Espresso,It is excellent,0,0,1
30,Coffee,good coffee,0,0,1
31,Barista,great barista,0,0,1
32,Price,Inexpensive,0,0,1
33,Ambiance,great vibe,0,0,1
34,Food,love the food,0,0,1
