,aspect,opinion,negative,neutral,positive,question
0,Overall satisfaction,This place is a good place to come have drinks,0,0,1,0
1,Food,The food is grate,0,0,1,0
2,Atmosphere,grate place to have a party with friend when u wont to go out and eat,0,0,1,0
3,Service,exceptional,0,0,1,0
4,Food,exceptional,0,0,1,0
5,Prices,very reasonable,0,0,1,0
6,Food,spectacular,0,0,1,0
7,Recommendation,HIGHLY RECCOMEND,0,0,1,0
8,Overall satisfaction,Standard Hard Rock,1,0,0,0
9,Overall satisfaction,Overrated,1,0,0,0
10,Overall satisfaction,Tolerable but don't go out of your way,1,0,0,0
11,Service,"One server helped everyone, while the rest refused to service a table other than their own",1,0,0,0
12,Food,"The food was nothing special, other than the price",1,0,0,0
13,Decor,The decor was only the walls plastered with random instruments of the stars,1,0,0,0
14,Feeling,The way we were served made it feel like we were rushed out of the place,1,0,0,0
15,Food,cant remember the name,0,1,0,0
16,Decor,good,0,0,1,0
17,Music,good,0,0,1,0
18,Service,quick,0,0,1,0
19,Wait time,seated within 30 min,0,0,1,0
20,Fruita Palooza cocktail,My ex loved it,0,0,1,0
21,Taste,you couldn't taste it,1,0,0,0
22,Strength,you certainly felt it though,0,0,1,0
23,Existence,This place still exists,0,0,0,1
24,Atmosphere,Love the atmosphere,0,0,1,0
25,Noise level,too loud to deal with for an entire meal,1,0,0,0
26,Portion size,way to big,1,0,0,0
27,Food,food is OK,0,0,1,0
28,Experience,Very fun,0,0,1,0
29,Group size,Good place to go with a large group of friends,0,0,1,0
30,Overall satisfaction,Great service as always and the usual hard rock menu,0,0,1,0
31,Uniqueness,one of the originals,0,0,1,0
32,Sound level,Loud,1,0,0,0
33,Music,its rock so its OK,0,0,1,0
34,Menu,tha will leave you rolling out of there,0,0,1,0
35,Food,Dont expect a cordon bleu course just good ol food and a solid experience,0,0,1,0
36,Food,Great food with consistent quality,0,0,1,0
37,Staff,"a little overwhelmed and stressed at times, but overall Ive had great experiences",0,0,1,0
38,Cafe,The best rock cafe of ever,0,0,1,0
39,Food,Enjoyed a great burger,0,0,1,0
40,Country,in the country of rock music,0,0,1,0
41,Place,in one of the most representative places for who likes to rock,0,0,1,0
42,Price,worth the price,0,0,1,0
43,Chain restaurants,I personally dont like chain restaurants because Im a supporter of local places because I think its overrated here and the stuff is not super great,1,0,0,0
44,Work dinners,I came here a few times just because of work dinners,0,0,1,0
45,Local areas,I rather go to some local areas,0,0,1,0
46,Food,decent,0,0,1,0
47,Honey mustard,enjoyed,0,0,1,0
48,Waiter,went on a break after he took our orders and left this really sweet girl in charge who was awesome and took care of all our needs,1,0,0,0
49,Bill,came back on shift and when I told him that I wanted her to be tipped out he rolled his eyes at me and acted like he didnt hear me,1,0,0,0
50,Prices,super marked up,1,0,0,0
51,Ambiance,loud & they sat me & my child right next to the bar which I thought was rude and tacky,1,0,0,0
52,Food,good,0,0,1,0
53,Ambiance,definitly more for the ambiance,0,0,1,0
54,Tour,must do,0,0,1,0
55,Food,Bland food,1,0,0,0
56,Service,service nothing to shout about,1,0,0,0
57,Bottled Guinness,awful,1,0,0,0
58,Service,always great,0,0,1,0
59,Decor,good,0,0,1,0
60,Food,"poor tasting, unremarkable, ordinary burgers",1,0,0,0
61,Value for money,$25+ to waste,1,0,0,0
62,Atmosphere,manufactured atmosphere,1,0,0,0
63,Party tonight,Wheres the Party tonight,0,0,1,0
64,Music,Legends of Rock music,0,0,1,0
65,Ambiance,Hard Rock Cafe is the place for some Legends of Rock music with an ambience purely based on its name  Hard Rock,0,0,1,0
66,Beer drinker,The best place to spend time for Beer drinker with the variety of beer options they have along with thier yummy platter of appetizers is a must try,0,0,1,0
67,Dining experience,enjoyed,0,0,1,0
68,Decor,different great for taking pics with friends,0,0,1,0
69,Food,okay what i expected nothing to crazy quality was good,0,0,1,0
70,Service,okay it was busy so i understand why it took so long for my refill lol,1,0,0,0
71,Value for time,defently a place to check out if you have time,0,0,1,0
72,Food,awesome,0,0,1,0
73,Decor,great,0,0,1,0
74,Music,a little loud,1,0,0,0
75,Overall satisfaction,nice,0,0,1,0
76,Wait time,15 minutes,0,0,1,0
77,Service,really nice,0,0,1,0
78,Food,love the food,0,0,1,0
79,Beer,love the food especially with a beer,0,0,1,0
80,Overall satisfaction,This is a great place to eat,0,0,1,0
81,Family friendliness,family friendly,0,0,1,0
82,Price,good prices,0,0,1,0
83,Drinks and food,awesome,0,0,1,0
84,Service,very slow however,1,0,0,0
85,Ambiance,Place was half empty but we had to wait for drinks and appetizer for a while,1,0,0,0
86,Cafe,This is one of the nicer cafes,0,0,1,0
87,Drinks,Very good range of drinks,0,0,1,0
88,Service,Pleasant service,0,0,1,0
89,Food,"Good is limited but whatever there is, is decent",0,0,1,0
90,Environment,very fun,0,0,1,0
91,Restaurant,"known for their decorations and concerts, not for the food",1,0,0,0
92,Time,great time,0,0,1,0
93,Food,Great food,0,0,1,0
94,Service,Friendly service,0,0,1,0
95,Food,Very tasty,0,0,1,0
96,Food,Good food,0,0,1,0
97,Location,"Convenient location, near Alcatraz cruises and pier 39 attractions",0,0,1,0
98,Food and service,good,0,0,1,0
99,Music,played so loud it was difficult to speak with both waiters and people around the table,1,0,0,0
100,Temperature,on a rainy day like today they should have heated the place better,1,0,0,0
