,aspect,opinion,negative,neutral,positive
0,Happy hour,Awesome $5 nachos,0,0,1
1,Service,Amazing waiters are very helpful,0,0,1
2,Return visits,I will be coming back,0,0,1
3,Overall satisfaction,Love the place,0,0,1
4,Food,great food,0,0,1
5,Price,affordable prices,0,0,1
6,Breakfast,Awesome,0,0,1
7,Huevos rancheros,The best I had in LA,0,0,1
8,Overall,nice,0,0,1
9,Sides,They did not offer sides of waffles with their entrees,1,0,0
10,Service,The service was great,0,0,1
11,Food,The food was hot. Amazing!,0,0,1
12,Food,Great food,0,0,1
13,Vibe,Great vibe,0,0,1
14,Outside setting,perfect for a breezy Cali night,0,0,1
15,Staff,great,0,0,1
16,Service,prompt,0,0,1
17,Food,hot and flavorful,0,0,1
18,Food,They have a unique twist on some common food items,0,0,1
19,Bloody Maria,"Gotta try the Bloody Maria, classic",0,0,1
20,Dogs,They also allow small dogs in the outdoor area,0,0,1
21,Service,amazing,0,0,1
22,Food,amazing,0,0,1
23,Atmosphere,Nice,0,0,1
24,Food,okay,1,0,0
25,Menu,"trying to do too much on their menu, so everything suffers a little",1,0,0
26,Value,Feels like the Alcoves little cousin,1,0,0
27,Overall satisfaction,Amazing place,0,0,1
28,Food,I haven't tried the food,0,1,0
29,Service,awesome,0,0,1
30,Ambiance,awesome,0,0,1
31,Ambiance,Great,0,0,1
32,Service,friendly,0,0,1
33,Food,good,0,0,1
34,Food,Yummy,0,0,1
35,Food,overpriced and not very good,1,0,0
36,Recommendation,just head over to Fred 62s,0,0,1
37,Overall satisfaction,A little too pretentious LA for my taste,1,0,0
38,Decency,Decent for early evening drinks,0,0,1
