,aspect,opinion,mixed,negative,positive
0,Ambiance,The south of France in ambiance and taste,0,0,1
1,Patio,beautiful brick building lined patio for (admittedly rare) warm Berkeley mornings,0,0,1
2,Brunch,fabulous,0,0,1
3,Crowds,very busy,0,1,0
4,Breakfast,really good,0,0,1
5,Omlettes,really delicious,0,0,1
6,Scrambled eggs,to die for,0,0,1
7,Cafe,really cute and quaint,0,0,1
8,Waitresses and waiters,actually french too,0,0,1
9,Drinks,delicious too,0,0,1
10,Atmosphere,cozy neighborhood place,0,0,1
11,Service,good service,0,0,1
12,Food,uninspired food,0,1,0
13,Ingredients,low quality ingredients,0,1,0
14,Overall,needs a refresh,0,1,0
15,Food,pretty decent,0,0,1
16,Service,isn't that great,0,1,0
17,Waiting time,long lines during the weekend,0,1,0
18,Breakfast,Great place for breakfast,0,0,1
19,Ambiance,french country style restaurant,0,0,1
20,Wait time,must get there early to avoid long wait,0,1,0
21,Pancakes,Love the pancakes,0,0,1
22,Service,service is great,0,0,1
23,Wait time,epic wait for tables every Sunday,0,1,0
24,Food,no other food like it around here,0,0,1
25,3-minute eggs,perfect boiled and served with potatoes,0,0,1
26,Tomatoes provençal,delightful,0,0,1
27,Coffee,below local standards,0,1,0
28,Food,Good provencial food,0,0,1
29,Ambiance,Always crowded,0,1,0
30,Service,"Long lines, short-staffed. It took us one hour to get a menu, 30 minutes to take our order, and another 30 to get our food",0,1,0
31,Breakfast,Decent breakfast. Simple stuff like sausage in a baguette with a sun-dried tomato spread or just seasoned eggs scrambled with cream cheese.,0,0,1
32,Family friendliness,"NOT family friendly for service-related reasons, mostly.",0,1,0
33,Atmosphere,La Note,0,0,1
34,Food,Great French food,0,0,1
35,Brunch,Absolutely love the brunch,0,0,1
36,Brunch,Go for brunch,0,0,1
37,Dinner,Also go for dinner,0,0,1
38,Breakfast,enjoyed coming here for breakfast with my family,0,0,1
39,Wait time,"can be a wait, but I think that it is worth it",0,0,1
40,Food,"simple, but is made really well",0,0,1
41,Breakfast,great,0,0,1
42,Getting a seat,If you can get into this place and make yourself heard once seated,0,0,1
43,Food,Everything about the food and service here is amazing,0,0,1
44,Coffee,perfect coffee,0,0,1
45,Work,This place used to make me so late to work,0,1,0
46,Wait time,long wait for weekend brunch approx. 30 minutes for two,0,1,0
47,Food,positive,0,0,1
48,Eggs and bacon,just 3 stars IMO,0,1,0
49,Pastry sample basket,carb overload and pair it with the jam,0,0,1
50,Jam,to die for,0,0,1
51,Overall experience,worth the wait,0,0,1
52,Overall satisfaction,Excellent,0,0,1
53,Speed,very slow,0,1,0
54,Restaurant times,check restaurant times and go early to ensure no/short wait,0,0,1
55,Nutella french toast,try the nutella french toast,0,0,1
56,Soft boiled eggs,try the soft boiled eggs,0,0,1
57,Ambiance,a cute restaurant with a french feel,0,0,1
58,Time,EARLY on a Saturday morning,0,0,1
59,Place,pleasant place to sit and enjoy some oatmeal and eggs,0,0,1
60,Price,a little on the spendy side,0,1,0
61,Experience,well worth the experience,0,0,1
62,Restaurant,favorite,0,0,1
63,Breakfasts,amazing,0,0,1
64,Atmosphere,awesome,0,0,1
65,French toast,to die for,0,0,1
66,Size,The place can be cramped,0,1,0
67,Food,food and service is well worth it,0,0,1
68,Authenticity,It feels and tastes incredibly authentic,0,0,1
69,Price,Its cheaper than eating in France,0,0,1
70,Brunch,my favorite,0,0,1
71,Eggs and pancakes,love,0,0,1
72,Ratatouille,love,0,0,1
73,Garden patio,lovely in warm weather,0,0,1
74,Garden seating,worth the wait,0,0,1
75,Baked goods,amazing,0,0,1
76,Price,slightly pricey,0,1,0
77,Brunch,best in the area,0,0,1
78,Lunchtime,hit or miss for a line,0,1,0
79,Weekends,given,0,0,1
80,Waiting time,long line,0,1,0
81,Food,most of the food wasn't worth the wait,0,1,0
82,French toast,brioche wasn't rich and flavorful,0,1,0
83,Lemon gingerbread pancakes,not particularly flavorful,0,1,0
84,Sour cream coffee cake,outstanding,0,0,1
85,Overall satisfaction,Not recommended,0,1,0
86,Food,average,0,1,0
87,Service,unfriendly,0,1,0
88,Ambiance,get crammed in like a can of sardines. Very uncomfortable,0,1,0
89,Maximum occupancy levels,I wonder if they are in compliance,0,1,0
90,Brunch,best brunch in Berkeley,0,0,1
91,Jam,I dream at night abt the jam,0,0,1
92,Ratatouille omelette,pretty delicious,0,0,1
93,Brunch place,solid,0,0,1
94,Lines,can get long,0,1,0
95,Wait time,30-45 minutes,0,1,0
96,Pricing,reasonably priced,0,0,1
97,Atmosphere,just the atmosphere,0,0,1
98,Weather conditions,Go when its sunny,0,0,1
99,Food presentation,Very well presented,0,0,1
100,Food,decadent breakfast food like pear pancakes and thick french toast,0,0,1
101,Ambiance,Supposedly has a french vibe,0,0,1
102,Crowds,"Very cute, but one of those very hyped places with a consistently long line at breakfast time",0,1,0
103,Outdoor seating,I prefer sitting out back which is often very sunny and nice,0,0,1
104,French food,Excellent,0,0,1
105,Price,reasonable,0,0,1
106,Decor,chic but a bit old fashion,1,0,0
107,Breakfast,I like the breakfast the most,0,0,1
108,Waiting line,super long waiting line during the Weekend breakfast hours,0,1,0
109,Wait time,long,0,1,0
110,Food,not traditional american breakfast,0,1,0
111,Food,thoroughly French meal,0,0,1
112,"Porridge, sausage, and toast brunch",terrific,0,0,1
113,Creme Fraiche pancakes,wonderful,0,0,1
114,Raspberry Oatmeal pancakes,not as tasty,0,1,0
115,Lemon Gingerbread pancakes,not as tasty,0,1,0
116,Breakfast,wonderful,0,0,1
117,Weekend crowds,long line isnt worth it,0,1,0
118,Food,egg dishes are great,0,0,1
119,Food,berry oatmeal was perfect,0,0,1
120,Coffee,good coffee,0,0,1
121,Breakfast,one of the best breakfasts I had in years,0,0,1
122,Outdoor seating,Nice,0,0,1
123,Croque madame,awesome,0,0,1
124,Wait time,quite long,0,1,0
