,aspect,opinion,negative,positive
0,Burgers,marlowe burger is good,0,1
1,Reservations,we didn't have a reservation,1,0
2,Sitting at the bar,that was not fun at a busy lunch hour,1,0
3,Deviled eggs,The deviled eggs are bomb,0,1
4,Brussel sprout chips,as were the brussel sprout chips,0,1
5,Tuna,I had the tuna over Israeli cous cous. Amazing!,0,1
6,Wine list,very good,0,1
7,Price,overpriced,1,0
8,Servers,arrogant,1,0
9,Location,basically right next door to Caltrain in SF,0,1
10,Atmosphere,Very hipster place,0,1
11,Burgers,wonderful burger and fries,0,1
12,Value for money,Much better than anything else to public transit,0,1
13,Drinks,"Great selection of eclectic drinks, both mixed and normal sodas",0,1
14,Place,Pretty awesome place,0,1
15,Brussel sprout chips,interesting,0,1
16,Fried chicken sandwich,too heavy for my tastes...with a fishy taste in the sauce,1,0
17,Burger,awesome,0,1
18,Waitress,great,0,1
19,California cuisine,great,0,1
20,Local produce,quality good,0,1
21,Brussels sprout chips,"trust me, its highly addictive",0,1
22,Marlowe burger,considered one of the best in the city,0,1
23,Grilled Niman pork chop,tasty large portions,0,1
24,Poulet Vert,gren roasted chickent,0,1
25,Ansen Mills Polenta,with wild mushrooms,0,1
26,Size,The place is small so make reservations on OpenTable,1,0
27,Burger,"solid, but not out of this world",1,0
28,Serpentines,amazing,0,1
29,Brussels sprouts chips,great,0,1
30,Everything,amazing,0,1
31,Burger,Best. Burger. Ever!,0,1
32,Appetizers,really great,0,1
33,Roasted bone marrow,rich and flavorful,0,1
34,Deviled eggs,come with melted cheese and bacon on top,0,1
35,Baked oysters,really unique with a layer of clam chowder and breadcrumbs on top,0,1
36,The burger,just okay,1,0
37,The patty,cooked nicely,0,1
38,The bread,really plain and a tad dry,1,0
39,The horseradish aioli,tasty,0,1
40,The toppings,"nothing interesting just your standard lettuce, onions, etc",1,0
41,The wine list,great,0,1
42,Happy hour,nice spot,0,1
43,Location,great location right across the street from the CalTrain and close to the ballpark,0,1
44,Food,fabulous,0,1
45,Niman Pork Chop,best,0,1
46,Corn pudding,fantastic,0,1
47,TCHO Chocolate Creme Pie,delicious,0,1
48,Service,stellar,0,1
49,Location/decor,Nice,0,1
50,Service,good but felt constantly rushed,1,0
51,Food,Delicious,0,1
52,Price,expensive,1,0
53,Crowds,crowded,1,0
