,aspect,opinion,negative,neutral,positive
0,Quality of food,poor quality of my meal today,1,0,0
1,Salad,no existent,1,0,0
2,Bread,hard and disappointing,1,0,0
3,Dining experience,really disappointing,1,0,0
4,Location,Ideal location just outside the Caltrain station on King & 4th,0,0,1
5,Indoors,Very spacious,0,0,1
6,Seating,comfy,0,0,1
7,Coffee,good,0,0,1
8,Food,Didnt try their food yet but thats next,0,1,0
9,Place,Nice,0,0,1
10,Bathrooms,free bathrooms is a nice plus,0,0,1
11,"Egg, cheese and bacon on Ciabatta breakfast sandwich",+,0,0,1
12,Bacon spinach egg souffle,+,0,0,1
13,Mac & Cheese,+,0,0,1
14,Coffee,better than Starbucks,0,0,1
15,Ambiance,plenty of places to sit,0,0,1
16,Service,coffee in a ceramic cup with refills,0,0,1
17,Overall satisfaction,new favorite place,0,0,1
18,Salads,Great salads,0,0,1
19,Sandwiches,Great sandwiches,0,0,1
20,Service,Fast service,0,0,1
21,Panera Bread,like going,0,0,1
22,Bread and soups,delicious,0,0,1
23,Service crew,friendly and attentive,0,0,1
24,Place,"perfect to relax, unwind and eat",0,0,1
25,Overall satisfaction,lovely place,0,0,1
26,Food,fresh and tasty,0,0,1
27,Coffee,great coffee,0,0,1
28,WiFi,great,0,0,1
29,Seating,plenty of comfy seating,0,0,1
30,Toilets,open toilets,0,0,1
31,Wifi,Free wifi,0,0,1
32,Music,good music,0,0,1
33,Ambiance,chill environment,0,0,1
34,Coffee,Get a coffee,0,0,1
35,Staff,Super friendly,0,0,1
36,Order,They have never screwed up my order,0,0,1
37,Panera,This is my fav Panera in SD,0,0,1
38,Busyness,never too busy,0,0,1
39,Food,reliable,0,0,1
40,WiFi,free wifi,0,0,1
41,Service,They drop off the food and pick it up after you are done. It makes you feel like you are not eating fast food.,0,0,1
42,Overall satisfaction,Overall great place,0,0,1
43,Likelihood to return,I will be coming back here a lot in the future,0,0,1
44,Location,very close by,0,0,1
45,Price,cheaper than the hotel,0,0,1
46,Staff,very friendly,0,0,1
47,Manager,Ebenezer made us feel very special & couldnt have been more welcoming,0,0,1
48,Experience,nice experience,0,0,1
49,Soup,loved the blue cheese & broccoli soup,0,0,1
50,Chain,We need this chain in Australia,0,0,1
51,Unlimited refills and wifi,good,0,0,1
52,Sandwiches and salads,just ok,1,0,0
53,Tomato soup,favorite thing,0,0,1
54,Side options,"like that you have an option for your side (chips, apple, bread)",0,0,1
55,Food,good,0,0,1
56,Service,good,0,0,1
57,Commuting location,good,0,0,1
58,Bread,i like their bread,0,0,1
59,Overall satisfaction,nothing special,1,0,0
60,Food,The food is ok,0,0,1
61,Prices,The prices are still charging for something that should be special though,1,0,0
62,Salads,decent,0,0,1
63,Baked goods,decent,0,0,1
64,WiFi,good,0,0,1
65,Eating at Panera,Why you would eat at a chain like Panera in a city with as many options as San Francisco is beyond me,1,0,0
66,Food,Panera has great food,0,0,1
67,Seasonal summer salads,I love their seasonal summer salads,0,0,1
68,Soup in bread bowls,Their soup in bread bowls is great,0,0,1
69,Sandwiches,Their sandwiches are great,0,0,1
70,Free WiFi,Plus they free WiFi which is always awesome,0,0,1
71,Ambiance,"Its a warm and welcoming place to curl up with your computer and a soup and sandwich on a cold, rainy day",0,0,1
72,Customer service,they cant remember what the hell you ordered,1,0,0
