,aspect,opinion,mixed,negative,positive
0,Decor,Very classy and interesting,0,0,1
1,Atmosphere,I love the atmosphere,0,0,1
2,Muffaletta,Great,0,0,1
3,Size,half can easily feed two,0,0,1
4,TurboDog,on tap,0,0,1
5,Cochon de lait Po boy,pretty much outstanding,0,0,1
6,Overall satisfaction,So good,0,0,1
7,Food,"flavorful food, but ... yes ... a little on the greasy side",1,0,0
8,Atmosphere,low key and relaxed,0,0,1
9,Crowds,really really crowded sometimes,0,1,0
10,Live music,what draws me to PHB,0,0,1
11,Music quality,highly variable,0,1,0
12,Ron Thompson,reliable bet,0,0,1
13,Music timing,"goes on and off early, sometimes 5pm to 9pm",0,1,0
14,Outdoor music,"outdoors, so dress accordingly",0,1,0
15,Change from other downtown restaurants,nice,0,0,1
16,Atmosphere,just good ole fashioned Louisiana fun,0,0,1
17,Location,Situated in an old house down by the SAP Arena,0,0,1
18,Food,the food is good and moderately priced,0,0,1
19,Entertainment,they often have live music going,0,0,1
20,Seating,There is a VERY small amount of seating inside but that okay,0,1,0
21,Outdoor seating,All the fun happens out on what was once the driveway on the side of the house!,0,0,1
22,Heating,"In cold weather, they have plenty of propane heat lamps all over the place to keep you more than warm enough",0,0,1
23,Food,"The food is just what youd expect to find, Shrimp PoBoys, Sausage Bread (french bread stuffed with italian sausage, served with creole mustard), couple of different varieties of Gumbo and Blackened Chicken & Tasso Pasta (I loved this one!)",0,0,1
24,Dessert,Save some room for the Bread Pudding and plan to share it. Its DELISH!,0,0,1
25,Overall satisfaction,"I wouldnt go out of my way to come here, this is a place you eat if you happen to be in the area",0,1,0
26,Fried food,"The frying is done right, judging by the shrimp",0,0,1
27,Pulled pork poboy,good,0,0,1
28,Jambalaya,too dry for me and nursing cayenne,0,1,0
29,Gumbo,"good, Cajun style (as opposed to Creole), but lacking heat that cayenne should have brought tho the dish",0,1,0
30,Red beans,"passable as Creole, but could have used a bit more distinction",0,1,0
31,Honey cornbread,good,0,0,1
32,Live music,Cool live music though,0,0,1
33,Overall satisfaction,Probably come back for that and a shot at another poboy or a muffaletta,0,0,1
34,Food,I rounded up food wise since I heard there is a fair bit of variation among cooks,0,0,1
35,Live music,Great,0,0,1
36,Dining al fresco,Great,0,0,1
37,Food,Tasty,0,0,1
38,Seafood,really good,0,0,1
39,Location,feels like youve stepped out of San Jose,0,0,1
40,Food,inconsistent experiences,0,1,0
41,Atmosphere,love,0,0,1
42,Drinks,love,0,0,1
43,Jambalaya scramble,nothing was bursting with flavor except for the red beans which were delicious,0,0,1
44,Jambalaya scramble, expecting a little more spice since it was a Cajun place,0,1,0
45,Ambiance,Very charming place with live jazz,0,0,1
