,aspect,opinion,negative,neutral,positive
0,Location,tucked away on 9th St (just off Main St),0,0,1
1,Seating,"patio seating and space for 17 inside (yes, its that small)",0,0,1
2,Pastrami sandwich,absolutely perfect,0,0,1
3,Chocolate shake,classic chocolate shake made the old-fashioned way with real ice cream and a mixer,0,0,1
4,Price,reasonable prices for such great food,0,0,1
5,Food,amazing,0,0,1
6,Portion size,very generous,0,0,1
7,Staff,nicest staff that make you feel welcomed and as if your part of the family,0,0,1
8,Overall satisfaction,love this place more every time I go to it,0,0,1
9,Breakfast,Big breakfast fan,0,0,1
10,Service,Quick service,0,0,1
11,Food,food is delicious,0,0,1
12,Overall satisfaction,great place,0,0,1
13,Ambiance,nice retro feel,0,0,1
14,Staff,happy and helpful,0,0,1
15,Food,excellent,0,0,1
16,Recommendation,Highly recommend,0,0,1
17,Food,Great food,0,0,1
18,Service,"spotty sometimes, but bearable",1,0,0
19,Prices,excellent,0,0,1
20,Food,Great food,0,0,1
21,Value,Better value than other cafe,0,0,1
22,Ambiance,nice outdoor seating and indoor too,0,0,1
23,Service,good just a teensy bit slow and no drink refills but free water with crushed ice,0,0,1
24,Overall,8/10,0,0,1
25,Overall satisfaction,This place is great,0,0,1
26,Deep fried french Toast,extremely sweet,1,0,0
27,Chili fries,Nice place,0,0,1
28,Hours,could stricter hours,1,0,0
29,Service,"fantastic, friendly and quick",0,0,1
30,Food,amazing,0,0,1
31,Food,Delicious food,0,0,1
32,Portion size,nice portions,0,0,1
33,Taste,yummy,0,0,1
34,Price,reasonable prices,0,0,1
35,Overall satisfaction,you wont be disappointed,0,0,1
36,First time visit,great,0,0,1
37,Employees,diligent and polite,0,0,1
38,Food,delicious,0,0,1
39,Recommendation,would definitely go back and recommend others to go,0,0,1
40,Prices,economical,0,0,1
41,Overall satisfaction,"Ok, not great",1,0,0
42,Service,Nice service,0,0,1
43,Omelette,good portion,0,0,1
44,Hash browns,average,0,1,0
45,Value for money,Still a good value,0,0,1
