,aspect,opinion,negative,neutral,positive
0,Decoration,"one of the most highly decorated, and atmospheric restaurants",0,0,1
1,Unique,completely unique,0,0,1
2,Food,good,0,0,1
3,Service,fast and efficient,0,0,1
4,Location,you can walk along the street and visit other colorfull shops and scenery,0,0,1
5,Waiting time,If you like to wait wait and wait... your more then welcome to come here,1,0,0
6,Service,We asked for ranch... im still sitting here 20 min later with no ranch. Ordered a chicken sandwich half an hour has gone by without our waitress in site,1,0,0
7,Recommendation,I highly recommend somewhere nicer!,1,0,0
8,Overall satisfaction,great place to take out of town visitors with small kids,0,0,1
9,Disney one,not as good,1,0,0
10,Service,We had to chase down a server for drink refills and the check,1,0,0
11,Server's recommendations,The server recommended the veggie buffer but it was cold inside and tasted like mush,1,0,0
12,Overall satisfaction,This is a tourist trap,1,0,0
13,Atmosphere,rainforest atmosphere just made me uncomfortable and sweaty,1,0,0
14,Noise level,Way too loud to have a nice conversation,1,0,0
15,Food,terrible,1,0,0
16,Pizza,worst,1,0,0
17,Value for money,not worth it at ALL,1,0,0
18,Different characters and decor outside the Rainforest Cafe,I decided to check it out,0,0,1
19,Lots of different items ranging from shirts to glasses and toys,nothing special but good for a family night out,0,0,1
20,The food,i would rate like an applebees,0,0,1
21,Food,The food can be rather expensive,1,0,0
22,Decoration,super original,0,0,1
23,Gift shop,enjoyed being at the gift shop while I wait for my name to be called,0,0,1
24,Food,The food was superb,0,0,1
25,Activities,A lot to do in the store,0,0,1
26,Photo booth,awesome,0,0,1
27,Kid-friendliness,suitable for kids and family,0,0,1
28,Aquarium,nice,0,0,1
29,Location,located conveniently on pier 39,0,0,1
30,Staff,Very nice staff,0,0,1
31,Size,LARGE BUILDING,0,0,1
32,Design,AWESOME,0,0,1
33,Service,extremely patient with us when our party (of 20 people) and our orders,0,0,1
34,Food,The food was great!,0,0,1
35,Burgers,my favorite is the fish and chips,0,0,1
36,Value for money,Would eat here again and again!,0,0,1
37,Food and service,amazing,0,0,1
38,Speed of service,It only took ten minutes for our food to come to our table,0,0,1
39,Decor,great,0,0,1
40,Animals,interactive animals,0,0,1
41,Recommendation,Highly recommended for all ages!!!,0,0,1
42,Food,"Their food is ok, not the greatest",1,0,0
43,Appetizers,The spinach dip is really good,0,0,1
44,Service,good,0,0,1
45,Staff,nice,0,0,1
46,Decor,real life forest scene,0,0,1
47,Restaurant experience,amazing,0,0,1
48,Dine in,great,0,0,1
49,Location,amazing,0,0,1
50,Tourist attraction,great,0,0,1
51,Price,$200 (5 adults) was too much,1,0,0
52,Food,crappy food,1,0,0
53,Entree,"Next time, I would not order an entree. Maybe just the soup",1,0,0
54,House salad,I didn't even like my house salad,1,0,0
55,Experience,I was paying for the experience,0,0,1
56,1 year old,"my 1 year old was so enthralled by the gorillas, elephants, and fish",0,0,1
57,Waiting time,One and a half hour wait,1,0,0
58,Service,okay but nothing to rave about,1,0,0
59,Speed,It took about 30 minutes for our food to get to us,1,0,0
60,Food,The food was great,0,0,1
61,Atmosphere,This is a great place to go for kids,0,0,1
62,Value,The costs are pretty pricey-about $15 per entree,1,0,0
63,Parental perspective,I absolutely detest this place,1,0,0
64,Gift shop,you wait for your table,1,0,0
65,Food,food is average,1,0,0
66,Kids perspective,kids LOVE it,0,0,1
67,Entertainment value,there's a lot to see,0,0,1
68,Appeal,it's hard not to appreciate the fun of it,0,0,1
69,Wait time,pretty good,0,0,1
70,Decor,really cool,0,0,1
