,aspect,opinion,negative,neutral,positive
0,Ramen,amazingly good,0,0,1
1,Options,superb,0,0,1
2,Stock,massive amount of time and complexity that goes in to the stock,0,0,1
3,Ordering process,leaves a lot to be desired for a place that has so few seats,1,0,0
4,Japanese ramen,authentic,0,0,1
5,Soup,love the soup,0,0,1
6,Eggs,love the eggs,0,0,1
7,Lunchtime crowds,always busy at lunch,1,0,0
8,Soy Milk Ramen with pork belly and egg,favorite,0,0,1
9,Ramen,steaming ramen was good,0,0,1
10,Ambiance,Tiny place with communal tables and counters...so expect long lines at prime time,1,0,0
11,Size,small place,1,0,0
12,Service,fast service,0,0,1
13,Food,yummy food,0,0,1
14,Size,small,1,0,0
15,Toppings,could use more toppings,1,0,0
16,Location,good downtown place,0,0,1
17,Broth,excellent,0,0,1
18,Price,Kind of pricey,1,0,0
19,Size,Very small/cozy,0,0,1
20,Wait time,be ready to wait,1,0,0
21,Tonkotsu,Lots of great broth and noodles but few toppings,0,0,1
22,Spicy shio with kotteri,Diner liked it and would have it again with the kotteri add-on,0,0,1
23,Salt with corn,Diner seemed satisfied,0,0,1
24,Vegetable,Hmm there were still a lot of spinach left after diner finished,1,0,0
25,Size,tiny,1,0,0
26,Ramen,great bowls of ramen,0,0,1
27,Price,good,0,0,1
28,Tonkotsu broth,order the tonkotsu broth,0,0,1
29,Nom Nom Nom,On Nom Nom Nom,0,0,1
30,Overall satisfaction,Ramen Underground would get 3.5 but Ill round up since Im feeling nice,0,0,1
31,Availability,"Ive heard about this place for awhile now but always assumed it was just opened for lunch and could never go. But then a friend told me theyre opened for dinner too and since then, its been my go-to due to conveniency. I like that they dont close in between lunch and dinner and with my weird eating schedule, I manage to fit in a bowl of ramen when its not super packed since its TINY",0,0,1
32,Habanero Ramen,"When it came out, I was very surprised that the broth was far from red and disappointed that it was barely spicy. Not habanero at all. Kimchi was very good though and egg was perfectly soft-boiled melt in your mouth delicious",1,0,0
33,Tonkatsu,I think I prefer the Tonkatsu just because the Spicy Miso was not spicy at all (I think they have to work on their spice thermometer). Pork belly is SOOO good...I love pork belly fat. I wish the noodles were better though and all their broths can get a little too salty after awhile and I just get sick of it. Definitely a worthy SF ramen place compared to others in the city though,0,0,1
34,Customizability,I love being able to choose the ingredients I want to put in my ramen,0,0,1
35,Inclusiveness of ingredients,"Most places will have most, but exclude simple things like the corn, or mushrooms",1,0,0
36,Service,"The people there are very attentive as well, always a great lunch experience",0,0,1
37,Payment,cash only,1,0,0
38,Size,very small,1,0,0
39,Wait time,always have to wait,1,0,0
40,Ramen,amazing,0,0,1
41,Service,good,0,0,1
42,Size,Small place,1,0,0
43,Groups,not great for larger groups,1,0,0
44,Ramen specials,Get their early for their ramen specials,0,0,1
45,Tomato broth,or soymilk broth for something off-the-wall,0,0,1
46,Ramen,pretty good,0,0,1
47,Extras,everything seems like an add-on that you pay extra for (even kimchee or egg),1,0,0
48,Portion size,decent,0,0,1
49,Service,okay,0,1,0
50,Location,really small though. Probably seating for 25 people,1,0,0
51,Waiting time,Prepare to wait,1,0,0
52,Groups,dont bring large groups,1,0,0
53,Hunger,come hungry,0,0,1
54,Ramen,best in town,0,0,1
55,Ramen,"I love me some good ramen and this is my favorite in the city. Forget just the city, I dont think Ive had ramen this good in all the little ramen places I explored in Tokyo. This place is the real deal with Japanese staff and fresh noodles.",0,0,1
56,Tonkatsu limited-dinner-only special,my go-to ramen here. No way youll leave hungry after that. And you can always just ask for a noodle refill if your noodle-to-broth ratio falls short mid-bowl.,0,0,1
57,Ambiance,We only come here for dinner when theres rarely any trouble getting a table. I couldnt imagine trying to cram in here during weekday lunch.,0,0,1
