,aspect,opinion,negative,positive
0,Food,reigning and undefeated champ,0,1
1,Service,Good food service. Very fast service,0,1
2,Food,Very good food,0,1
3,Steak,very good steak,0,1
4,French fries,best french fries of my life,0,1
5,Overall satisfaction,excellent,0,1
6,Food,sublime food,0,1
7,Service,world class service,0,1
8,Restaurant mistakes,"we had one and have received three calls from the staff with apologies, including a goodie box full of treats sent to our home",0,1
9,Chocolate Souffle,incredible,0,1
10,Lobster Risotto,so good,0,1
11,Food,Nice food,0,1
12,People,BEYOND wonderful,0,1
13,Food,beyond that,0,1
14,Atmosphere,fabulous,0,1
15,Culinary,BEST that SF has to offer,0,1
16,Consistency,consistent winner,0,1
17,Staff,top notch staff,0,1
18,Food,great food artfully prepared,0,1
19,Menu,"Menu does not change too much, but everything is perfect",0,1
20,Food,unbelievably delicious,0,1
21,Decor,elegant and the theme a little unexpected for the name 'Gary Danko.' Not in a bad way or anything,0,1
22,Service,"outstanding. They make you feel like it's their privilege to serve you. They are friendly, courteous and timely.",0,1
23,Price,pricy,1,0
24,Dress code,"elegant and at least business casual. Suit and tie is common. Dress pants and a dress shirt will work, but you should probably add a suit jacket or sports coat. Or no jacket but wear a tie instead.",0,1
25,Overall satisfaction,One of the top 10 in the world,0,1
26,Food,meat came well done,1,0
27,Service,excellent,0,1
28,Atmosphere,beautiful people,0,1
29,Service,Incredible service,0,1
30,Value for money,worth every penny,0,1
31,Recommendation,Will definitely go back,0,1
32,Food,Excellent food,0,1
33,Service,even better service,0,1
34,Ambiance,servers make this place seem down-to-earth despite the super fancy menu,0,1
35,Experience,more enjoyable,0,1
36,Check-in process,flawless,0,1
37,Entree,good,0,1
38,Dessert,cold souffle with no soul,1,0
39,Wine list,impressive,0,1
40,Decor,not bad but a bit dated for my taste,1,0
41,Danko,"splendidly, correctly and with class",0,1
42,Seating,superbly executed,0,1
43,Choosing,superbly executed,0,1
44,Presentation,superbly executed,0,1
45,Savoring,superbly executed,0,1
46,Occasion,ultimate special occasion joint,0,1
47,Uniqueness,very unique,0,1
48,Overall satisfaction,the best restaurant in san francisco,0,1
49,Food,everything is superb,0,1
50,Desserts,I'm ofcourse especially delighted by their desserts,0,1
51,Reservation policy,You have to call exactly 60 days before your desired reservation date,1,0
52,Food,over the top,0,1
53,Decor,over the top,0,1
54,Service,over the top,0,1
55,Overall satisfaction,San Francisco's best in all categories,0,1
56,Restaurant,The place is very artistic and has a privacy to it because the windows are shaded black,0,1
57,Chef,famous,0,1
58,Tables,I would recommend the tables to be placed farther apart for more privacy,0,1
59,Overall satisfaction,Superb,0,1
60,Overall satisfaction,"we were not really overwhelmed, we were rather closer to being underwhelmed",1,0
61,Tables,we did not like the tables,1,0
62,Lighting,we did not like the light,1,0
63,Crowd,we did not like the crowd,1,0
64,Food,the food was ok but did not show much conceptual consistency one expects from a well known chef,1,0
65,Experience,not really a memorable experience,1,0
66,Meal,excellent meal,0,1
67,Dessert,best dessert ever was the warm apple cake,0,1
