,aspect,opinion,negative,neutral,positive
0,Price,Expensive,1,0,0
1,Overall satisfaction,completely ordinary,1,0,0
2,Reservations,I am so glad we were able to land last minute reservations,0,0,1
3,Contemporary Japanese restaurant,Great chic upscale contemporary Japanese restaurant,0,0,1
4,Dining upstairs,I absolutely loved the open kitchen concept,0,0,1
5,Nigiri,Highly recommend the nigiri here if you want high quality fresh fish/seafood,0,0,1
6,Amberjack,"We ordered the amberjack, uni (one of the best Ive had in awhile) and the otoro (fatty tuna)",0,0,1
7,Butterfish tataki,The butterfish tataki was also another highlight,0,0,1
8,Prices,The prices are slightly on the higher end but the restaurant is located in the Financial District so a mark up in price is expected around the area here,1,0,0
9,Service,"Given the service, quality and overall presentation of the dishes, I had a great experience",0,0,1
10,Experience,I had a great experience and wouldnt mind coming back,0,0,1
11,Roka,one of my favourite restaurants,0,0,1
12,Roka,"chain started expanding globally, but then split in to",1,0,0
13,Roka,"original Roka has London and everything East, Roka Akor took everything West, including the US",1,0,0
14,Roka,"On the surface, the restaurant is very similar - modern Japanese food, with a focus on Robatayaki",0,0,1
15,Roka,"indeed, the open kitchen layout with multi-tier iron grill is identical, likewise the surrounding bar hewn from an impressively large cross section of a tree",0,0,1
16,Roka,"Dig a little deeper, however, and the similarities start to fall away",1,0,0
17,Roka,"The cuisine, while modern, lacks the edge, complexity and variety of the original - though the top tier prices stay the same",1,0,0
18,Roka,"The service, bizarrely, feels more like Olive Garden - friendly, but way too clingy; the staff too preoccupied in telling you their name to coordinate on whether anyone had taken your order",1,0,0
19,Roka,"Likewise, the heavy, visible pushing of their gift cards seems more suited to a restaurant several tiers below their price point",1,0,0
20,Roka,"Descending from the restaurant into their basement bar transports you from an interior that could just about compete with their London namesake, to somewhere that feels like a generic, though upscale, hotel",1,0,0
21,Roka,"On the positive side, the menu does feature a decent selection of beers from Japanese microbreweries, which Ive not seen elsewhere",0,0,1
22,Roka,"If youre looking for this kind of food, but dont mind skipping the financial district crowd, youd be better off going to Izakaya Sozai",1,0,0
23,Food,fantastic,0,0,1
24,Sashimi,can improve,1,0,0
25,Tiger Prawn,very good,0,0,1
26,Hot pot with rice,good,0,0,1
27,Truffle,Too much truffle all around,1,0,0
28,Tiger prawn,loved,0,0,1
29,Wagyu beef,loved,0,0,1
30,Hot pot,loved,0,0,1
31,Sashimi,loved,0,0,1
32,Overall experience,Worth the visit,0,0,1
33,Japanese restaurant,trendy new,0,0,1
34,Financial District,trendy new,0,0,1
35,Staff,Super friendly,0,0,1
36,Business,havent been around for long - not too much routine yet,1,0,0
37,Food,delicious,0,0,1
38,Wagyu beef,delicious,0,0,1
39,Sashimi,delicious,0,0,1
40,Corn,delicious,0,0,1
41,Sushi,total mix of Japanese cuisine,0,0,1
42,Price,On the expensive side,1,0,0
43,Price,"Roka Akor is usually $$$$ but with the Dine About Town menu, it made for a great deal and meal",0,0,1
44,Ambiance,"The upstairs of the restaurant was a brightly-lit dining experience, whereas the downstairs was more of a bar/lounge area with a classy ambiance, complete with dim lighting, candles, and modern furniture",0,0,1
45,Food,"Butterfish Tataki with White Asparagus and Yuzu was soft and buttery with a crunchy surprise in the middle. Second course was the Prime Beef Filet with Chili Ginger Sauce that was just juicy, tender, and perfectly seasoned with a perfectly complementary dipping sauce. I picked the Yuzu and Fresh Berry Pavlova for dessert, since you really can’t go wrong with fresh berries, especially if you find something similar to a giant macaroon underneath all of it",0,0,1
46,Service,I would definitely go back on a regular night and try everything else on their menu,0,0,1
47,Meal,delicious,0,0,1
48,Omakase menu,bit expensive,1,0,0
49,King crab,favorite,0,0,1
50,Butterfish crudo,favorite,0,0,1
51,Wagyu,favorite,0,0,1
52,Service,very good,0,0,1
53,Dinner,best,0,0,1
54,Ingredients,ultra fresh,0,0,1
55,Dishes,exciting,0,0,1
56,Staff,sharp but unassuming,0,0,1
57,Overall,Very nice,0,0,1
58,Overall satisfaction,one of the most solid restaurants,0,0,1
59,Decor,incredible,0,0,1
60,Food,delicious,0,0,1
61,Service,impeccable,0,0,1
62,Atmosphere,"upscale restaurant, but injects a casual feel",0,0,1
63,Friend's birthday celebration,"greeted with a glass of complimentary champagne and a warm Happy Birthday. When our dinner ended, she was presented with a complimentary dessert and candle, with a personal rendition of Joe Cockers You Are So Beautiful sung by our incredible server, Carlos",0,0,1
64,Beef Tataki w/ Truffles,BEST,0,0,1
65,Pork Belly,BEST,0,0,1
66,Butterfish Tataki,BEST,0,0,1
67,O-Toro Nigiri,BEST,0,0,1
68,Uni Chicarrones,GREAT,0,0,1
69,Miso Black Cod,GREAT,0,0,1
70,Prime Rib Eye,GREAT,0,0,1
71,Sweet Corn,GREAT,0,0,1
72,Soft-Shell Maki w/ Kimchi Aioli,OKAY,0,1,0
73,Robata Scallops,OKAY,0,1,0
