,aspect,opinion,negative,neutral,positive
0,Lunch spot,wonderful,0,0,1
1,Overall satisfaction,worth every cent,0,0,1
2,Seafood,excellent,0,0,1
3,Service,very good,0,0,1
4,Furnishings and equipment,very good,0,0,1
5,Location,loved the location,0,0,1
6,Food,amazing,0,0,1
7,Cipiono,Best cipiono I have ever had,0,0,1
8,Bartender,nicest bartender made us feel right at home,0,0,1
9,Seafood,excellent,0,0,1
10,Kids meals,excellent,0,0,1
11,Garlic crab,top notch,0,0,1
12,Seafood salad,top notch,0,0,1
13,Prawns,liked,0,0,1
14,Recommendation,I would highly recommend this for anyone in or around the area,0,0,1
15,Overall satisfaction,Excellent,0,0,1
16,Food,superb,0,0,1
17,Portion size,large,0,0,1
18,Calamari starter,superb,0,0,1
19,Seafood saute,outstanding,0,0,1
20,Quality of wine,reasonably priced,0,0,1
21,Service,with a smile and provided just the right of information,0,0,1
22,Cioppino,very good,0,0,1
23,View,magnificent,0,0,1
24,Wines,top notch,0,0,1
25,Location,national landmark,0,0,1
26,Food,Amazing food,0,0,1
27,Service,impeccable service,0,0,1
28,Swordfish picatta,Great experience,0,0,1
29,Salad,Great experience,0,0,1
30,Iced tea,Great experience,0,0,1
31,Servers,Great experience,0,0,1
32,Overall experience,Great experience,0,0,1
33,Pasta,dont go there for the pasta,1,0,0
34,Alfredo,wasnt very interesting,1,0,0
35,Chocolate brownie with ice cream,delicious,0,0,1
36,Size,big place with a lot of seats,0,0,1
37,Waiting list,waiting list on the weekend,1,0,0
38,Bread,sourdough frenchbread is the best,0,0,1
39,Busyness,"so are all great places... so be smart if you are going to be on the Wharf, make rez & go window shopping & come back in an hour enjoy it dont sweat it",0,0,1
40,Rez booth,I hate the rez booth up 4-5 feet above your head ...strange,1,0,0
41,Bottomline,after dinner go to the Buena Vista a few blocks away!!  Have a great time Mike #32,0,0,1
42,Great reviews,Came to Scomas for lunch,0,0,1
43,Free valet parking,Came to Scomas for lunch,0,0,1
44,Service,Excellent service by older gentlemen that took care of us,0,0,1
45,Lunch menu,Cod on the lunch prefix menu along with four shellfish combo which was delicious,0,0,1
46,Value for money,I will be back,0,0,1
47,Food,decent,0,0,1
48,Wait staff,horrible,1,0,0
49,Personality,very mechanic not personable at all,1,0,0
50,Recommendation,I wouldnt eat here again,1,0,0
51,Food,great,0,0,1
52,Service,deplorable,1,0,0
53,Overall satisfaction,best on the wharf,0,0,1
54,Seafood,great,0,0,1
55,Food,Try to eat there whenever Im in San Francisco,0,0,1
56,Waiter service,telling us it was crazy busy and make sure we put our order in now while we have him. WHAT??,1,0,0
57,Food,"OK, nothing fantastic and nothing stood out",1,0,0
58,Likelihood of returning,"Maybe if the meal was free, but probably not especially if I got service like that again",1,0,0
59,Menu,Traditional,0,0,1
60,Crowded,arrive early or hang out at the bar while you wait,1,0,0
61,Views,Great views of fishing boats,0,0,1
62,Fishermans Wharf,One of the best,0,0,1
63,Dining style,from another era,0,0,1
64,Fish,fresh,0,0,1
65,Overall satisfaction,tired,1,0,0
66,Location,Sausalito location is so much nicer than the more crowded with tourists fishermans wharf location,0,0,1
67,Nostalgia,i love going to this place,0,0,1
68,Price,overpriced and over hyped,1,0,0
69,Food,pretty good,0,0,1
70,Waiter,top notch,0,0,1
71,Dinner,$75 for just two entrees and a beer,1,0,0
72,Seafood,Very nice,0,0,1
73,Service,service was a little slow,1,0,0
74,Food,food was worth the wait,0,0,1
75,Recommendation,Try the salmon,0,0,1
76,Price,premade frozen fish sticks and crab cakes,1,0,0
77,Value,Wont go again,1,0,0
78,Seafood,very fresh and prepared deliciously,0,0,1
79,Server,very passionate about his job and knew the menu very well,0,0,1
80,Experience,got a very good experience enjoying the local seafood at Fishermans Wharf,0,0,1
81,Restaurant,excellent,0,0,1
82,Food,great,0,0,1
83,Views,fantastic,0,0,1
84,Crab,great w capers,0,0,1
85,Shrimp,fantastic,0,0,1
86,Recommendation,I would highly recommend,0,0,1
87,Price,"At first the price scares most people, but that shouldn't stop anyone",1,0,0
88,Food,I have never had poor service and the food is always excellent,0,0,1
89,Visit,It remains one of the few places that will make sure your visit is perfect,0,0,1
90,location,better than the food,0,0,1
91,food,kids like it,0,0,1
92,Seafood,Probably the best place to get seafood in SF,0,0,1
93,Restaurant,Supposedly a classic restaurant,1,0,0
94,Food,not that tasty,1,0,0
95,Food,favorite place,0,0,1
96,Food,"I wasnt a sea food fan at all until I went, ate what they had",0,0,1
97,Food,"We went back every night, every time Ive been in that beautiful city",0,0,1
98,Food,"Yup, me a meat & potato guy hooked on anything they offered",0,0,1
99,Service,very badly organized service,1,0,0
100,Food,tasty but also expensive,0,0,1
101,Seafood stew,"cant be beat, period",0,0,1
102,Overall satisfaction,Excellent again,0,0,1
103,Calamari,excellent,0,0,1
104,Bisque,excellent,0,0,1
105,Seafood Diplomatica,excellent,0,0,1
106,Value for money,a must visit in San Fran,0,0,1
107,Seafood ciopinno,The best seafood ciopinno Ive had,0,0,1
108,Service,Great service,0,0,1
109,Food,amazing food,0,0,1
110,Seafood,Good,0,0,1
111,Telephone option for reservation,no one will answer the phone,1,0,0
112,Website option,it doesnt work,1,0,0
113,Swordfish,fresh and really good,0,0,1
114,Popcorn shrimp,try,0,0,1
115,Fisherman's sautee,great,0,0,1
116,Staff,super helpful and friendly,0,0,1
117,Bar,great to talk to and made the wait worth it,0,0,1
118,Service,Great service,0,0,1
119,Food,Great food,0,0,1
120,Clam chowder,Best clam chowder we have ever had,0,0,1
121,Lobster,Excellent,0,0,1
122,Menu,best item is the cracked crab,0,0,1
123,Portion size,portions are really too large to be eaten with any comfort,1,0,0
