,aspect,opinion,negative,positive
0,Place,"Sinbads is a really nice old place, has the old San Francisco charm",0,1
1,View of the bay,uncontested the best,0,1
2,Food,big portions and very tasty,0,1
3,Entertaining guests,good place to entertain guests,0,1
4,Old established places,If you like old established places Sinbads is the place for you,0,1
5,View,Spectacular view,0,1
6,Place,a bit worn out,1,0
7,Bay view,spectacular,0,1
8,Lighted bridge,spectacular,0,1
9,My steak,"tender, juicy and cooked perfect",0,1
10,My date's clam chowder soup,delicious but a bit salty,0,1
11,Overall,nice and romantic dinner,0,1
12,Age,"old style, old inside and out",0,1
13,Location,old San Francisco,0,1
14,Food,great,0,1
15,View,awesome,0,1
16,Atmosphere,good place to chill out,0,1
17,Dining experience,My family had a great time dining,0,1
18,Seating,"seated in their garden terrace room but with a little sun that went through the huge sky light, very nice",0,1
19,Food,"The salmon Florentine, calamari and capt. Seafood combination were excellent",0,1
20,Price,Price was fair,0,1
21,View,the view was priceless,0,1
22,View,extraordinary,0,1
23,Food and drinks,great,0,1
24,Atmosphere,great,0,1
25,View,Nice view of the bay,0,1
26,Service,friendly service,0,1
27,Food,food was no better than what you could get from Captain Ds,1,0
28,Food,My wife and I were very disappointed in our food,1,0
29,Food,We expected much better,1,0
30,Salad,The salad was wilted and over drenched in dressing,1,0
31,Vegetables,The vegetables were over cooked,1,0
32,Halibut,The Halibut was no better than what one can get in the mid-West,1,0
33,View of the ocean,got seasick looking at the ocean,1,0
34,Food,so good,0,1
35,Captains seafood combination,fresh made,0,1
36,Apple pie,fresh made,0,1
37,Fullness,left full,0,1
38,Happiness,left happy,0,1
39,View,go there for the view only,0,1
40,Location,"living, barely, on its location",1,0
41,Live music,great,0,1
42,Seafood,like seafood come here to eat with family or friends,0,1
43,Carnivore,order the steak,0,1
44,Great place to eat,check it out when you get the chance,0,1
45,Overall satisfaction,Fantastic best describes,0,1
46,Light show on Bay Bridge,unbeatable,0,1
47,Lobster thermidor,best I ever had,0,1
48,Food,Good food,0,1
49,View,awesome view,0,1
50,Seafood pasta,loved,0,1
51,Grilled snapper,loved,0,1
52,Bridge lights,spectacular,0,1
53,Service,It took them 40 minutes to tell us the reason the they didnt bring us soup is because there out... when our food finally came out over an hour later the food was under cooked and 25 min later after we got out bill it was over 100 dollars higher then it should of been,1,0
54,Value for money,thank god i payed attention hoe many other people got f☆☆☆ING my christmas dinner,1,0
55,Restaurants,Sinbads was by far my best experience,0,1
56,Food,delicious,0,1
57,View,awesome bay bridge view,0,1
58,Place,great place,0,1
59,Activity,have a drink and watch the boats go by,0,1
60,Overall satisfaction,worst restaurant experience of my life,1,0
61,Ambiance,place looks very rundown and old. It has a certain musty smell.,1,0
62,View from restaurant,amazing,0,1
63,Service,we sat there for over an hour without even having a waiter come by,1,0
64,Food,"chalky, pasty, flavorless crab cake appetizer, to the over seasoned, greasy, mushy swordfish with over cooked vegetables",1,0
65,Price,this place is ridiculously over priced for the quality of food you are getting,1,0
66,Staff,weird,1,0
67,Food,so-so,1,0
68,Clientele,weird,1,0
69,Atmosphere,weird,1,0
70,Value for money,"pricey, not worth it",1,0
71,Service,very friendly and welcoming,0,1
72,Cajun swordfish,not too spicy at all,0,1
73,Chef combination of seafood,very good,0,1
74,Homemade apple pie,very good,0,1
75,View on the SF-Oakland Bay bridge,really makes it,0,1
76,Sea food,nice,0,1
77,Dinner entertainment,great choice in choosing Sinbads,0,1
78,Halibut,fresh and delicious,0,1
79,Swordfish,fresh and delicious,0,1
80,Old fashioned chocolate cake,to die for,0,1
81,Bridge lights,amazing,0,1
82,Appearance,looked old,1,0
83,View,Sinbads view and oldness was different and nice,0,1
84,Satisfaction,"Sinbads got me hooked after I left, number 1 on my list now",0,1
85,Location,"view of the ocean, bay bridge and sailboats is totally awesome",0,1
86,Food,"Halibut tasted like it was just caught, very fresh chocolate cake is the best Ive ever had",0,1
87,View,nice view of the water and bay bridge,0,1
88,Alcohol,enjoying some beer or wine with friends,0,1
89,Food,Skip the food and pick up something delicious at the Ferry Building,1,0
90,Food,just drink your lunch,1,0
91,Office luncheon party,everything was perfect,0,1
92,Host,left very happy,0,1
93,Going away party,great,0,1
94,Views,of the Bay and ocean were incredible,0,1
95,Sinbads,is a must see,0,1
96,Parking,"very convenient, valet parking cheap and right in front",0,1
97,View,"beautiful, nothing can beat dining by the bay",0,1
