,aspect,opinion,negative,positive
0,Similar restaurants in the area,great alternative,0,1
1,Food,great food,0,1
2,Price,good price,0,1
3,Taste,Tasty,0,1
4,Sustainability,How can you beat that,0,1
5,Food,Bland food,1,0
6,Value for money,not worth it,1,0
7,Food,amazed by their food,0,1
8,Chicken marsala,to die for,0,1
9,Chicken soup,even better,0,1
10,Prices,very well priced,0,1
11,Ambiance,casual eatery,0,1
12,Overall satisfaction,is cool,0,1
13,Overall,Nothing spectacular,1,0
14,Food,not that good,1,0
