,aspect,opinion,negative,neutral,positive
0,Service,horrible,1,0,0
1,Food,luke warm and salty,1,0,0
2,Facilities,old and dirty,1,0,0
3,Staff,cared,1,0,0
4,Food,good,0,0,1
5,Price,not worth the price,1,0,0
6,Happy hour,pretty good,0,0,1
7,Advice,plenty of better seafood joints in Berkeley for the $$,1,0,0
8,Seating,They put our noisy group in the back room,1,0,0
9,Food,"The food is decent, not great",1,0,0
10,Overall satisfaction,A relic of better days,1,0,0
11,Overall satisfaction,The old standard can still be depended upon,0,0,1
12,Local seafood,Great,0,0,1
13,Price,Kinda pricey,1,0,0
14,Meals,Huge,0,0,1
15,Happy hour,Great,0,0,1
16,Price,way too much,1,0,0
17,Food,mediocre at best,1,0,0
18,Service,pleasant,0,0,1
19,Clam chowder,tasted like it was out of a can,1,0,0
20,Salad,"overdressed, walnuts in the salad were stale",1,0,0
21,Entrees,combination deep fry was over fried,1,0,0
22,Restaurant,"used to be great, now it's mediocre",1,0,0
23,Price,19.50 plus 4 for a bud light draft,0,0,1
24,Smoked salmon with rice,"rice was undercooked a bit, salmon had a nice smokey flavor, but not much seasoning",1,0,0
25,Atmosphere,great historic garb on walls in very nice bldg,0,0,1
26,Skates,amazing foccacia,0,0,1
27,Spengers,Berkeley institution,0,0,1
28,Staff,love the staff,0,0,1
29,Atmosphere,love the atmosphere,0,0,1
30,Food,love the food,0,0,1
31,Home,"Its like home, here",0,0,1
32,Nautical items,liked looking at all nautical items,0,0,1
33,Years gone by,things have certainly gotten dated,1,0,0
34,Service,not up to par with the price paid,1,0,0
35,New England Clam chowder,Hard to go to wrong,0,0,1
36,Smell,smells like fermenting... juice? beer? something?,1,0,0
37,Overall satisfaction,loved this place years ago. Now ruined by some MBA spreadsheet geek from the firm that purchased them.,1,0,0
38,Food,subpar,1,0,0
39,Prices,way too high,1,0,0
40,Overall satisfaction,Not like it used to be,1,0,0
41,Meal,great and good,0,0,1
42,Crabcakes,fast because they were microwaved,0,0,1
43,Crabcakes,Better tasting from Costco,1,0,0
44,Ahi,old,1,0,0
45,Achiote tacos,tasteless,1,0,0
46,Food,Who eats this garbage?,1,0,0
47,Service,My wife left her wallet and when we came back 60$ was missing. Only the staff came into contact with it,1,0,0
48,Seafood,There are better places to get good seafood,1,0,0
49,Place,This place is sadly overrated,1,0,0
50,Advice,Do yourself a favor and go somewhere else,1,0,0
51,Location,like,0,0,1
52,History of the building,like,0,0,1
53,Lobster,Really good,0,0,1
54,Price,Overpriced,1,0,0
55,Seafood,for what you get,1,0,0
56,Service,OK,0,1,0
