,aspect,opinion,mixed,negative,positive
0,Decor,upscale and modern,0,0,1
1,Drink menu,good (yet expensive),0,0,1
2,Santana Row,good place to be seen,0,0,1
3,Overall satisfaction,Great place to relax - fantastic food!,0,0,1
4,Price,not cheap,0,1,0
5,Value for money,definitely worth it,0,0,1
6,Food,The food has declined over the years,0,1,0
7,Service,good,0,0,1
8,Price,$10 for a place in Man Jose,0,1,0
9,Atmosphere,good,0,0,1
10,Overall satisfaction,Everything was perfect,0,0,1
11,Service,excellent,0,0,1
12,Food,"thinly sliced rare beef appetizer (I do not remember the name), chili-crab, and Pad Thai",0,0,1
13,Pad Thai,throw the Pad Thai noodles into the chili crab sauce (so good),0,0,1
14,Overall satisfaction,BEWARE Please post if you have been victimized at a Straits Restaurant,0,1,0
15,Security,my phone was stolen from one of your employees,0,1,0
16,Management,unacceptable behavior,0,1,0
17,Customer service,poor service and treatment,0,1,0
18,Happy hour,underwhelmed,0,1,0
19,Drinks,watered down,0,1,0
20,Order,messed up,0,1,0
21,Ambiance,so incredibly loud in there that you could barely hear anyone talking,0,1,0
22,Overall experience,"Not a huge fan, but still had a fun time since I was with friends",1,0,0
23,Noise level,It usually gets loud and fun at night,0,1,0
24,People,"People are nice, they dress nice and everyones friendly",0,0,1
25,Cocktails and food,Great selection of cocktails and food,0,0,1
26,Spare ribs,DELICIOUS,0,0,1
27,Garlic noodles,quite tasty,0,0,1
28,Drinks,tasty and strong,0,0,1
29,Birthday club,free appetizer with purchase of entree,0,0,1
30,Brunch,Great,0,0,1
31,Chicken wrap,fresh,0,0,1
32,Chicken,spicy,0,0,1
33,Waiter,friendly and pleasant,0,0,1
34,Food,Good food,0,0,1
35,Service,excellent service,0,0,1
36,Atmosphere,vibrant n party type,0,0,1
37,Overall experience,Great place to hang out at nights,0,0,1
38,Service,The girl servers are all pretty and thats the only reason I gave them 3 stars,0,0,1
39,Beer and drink,suck,0,1,0
40,Food,"some are ok, some suck, definitely expensive but what can I say, its Santana Row",0,1,0
41,Environment,my friends like the environment,0,0,1
42,Happy Hour,Theres happy hour mon-fri in the afternoon I think,0,0,1
43,Garlic noodles,"The garlic noodles on the Happy Hour menu is pretty good, and probably the only dish thats worth it",0,0,1
44,Food,A fly flew out of our food,0,1,0
45,Management,rude and condescending,0,1,0
46,Price,Overpriced food,0,1,0
47,Service,horrible service,0,1,0
48,Appetizer,came AFTER the main course,0,1,0
49,Food,Very yummy,0,0,1
50,Staff,Very friendly,0,0,1
51,Asian fusion fare,Great,0,0,1
52,Noise level,A bit loud,0,1,0
53,Fusion fare,Great South-East Asian fusion fare,0,0,1
54,Service,Good service,0,0,1
55,Ambiance,Gets quite loud during the evening or at night,0,1,0
56,Brunch or lunch,Quieter brunch or lunch,0,0,1
57,Banana Leaf Salmon,I love the Banana Leaf Salmon that they serve,0,0,1
58,Food,Good food,0,0,1
59,Setting,amazing setting,0,0,1
60,Music,good music,0,0,1
61,Family style setting,family style setting,0,0,1
