,aspect,opinion,negative,neutral,positive
0,Overall experience,A great time was had by all,0,0,1
1,Overall satisfaction,love this place,0,0,1
2,Atmosphere,great atmosphere,0,0,1
3,Customer service,great customer service,0,0,1
4,Food,fun food,0,0,1
5,Overall carnival theme of restaurant,unique,0,0,1
6,Food,quite heavy and tasted OK,1,0,0
7,Frequency of visits,I wouldnt eat there more than once a month,1,0,0
8,Dinner menu,Cant comment,0,1,0
9,Overall satisfaction,Clever,0,0,1
10,Atmosphere,cozy and fun,0,0,1
11,Carnival-themed dishes,quirky and delicious,0,0,1
12,Cotton candy dessert,perfect,0,0,1
13,Whimsical and fun,definitely whimsical and fun,0,0,1
14,Food,very heavy (as you would expect),1,0,0
15,Donut burger,delicious because its sweet and savory mixed together,0,0,1
16,Calories,lots of calories,1,0,0
17,Overall,OK,0,1,0
18,Prices,not super cheaper either,1,0,0
19,Decor,"love the decor because its a carnival, its fun",0,0,1
20,Glazed doughnut burger,amazing,0,0,1
21,Fried egg,amazing,0,0,1
22,Bacon,amazing,0,0,1
23,Avacado,amazing,0,0,1
24,Salad,amazing,0,0,1
25,Size,great small place,0,0,1
26,Meal,brunch,0,0,1
27,Atmosphere,good alternative to stacks,0,0,1
28,Efficiency,line moves quickly,0,0,1
29,Concept,Really cute concept for a restaurant,0,0,1
30,Menu,carnival inspired items on their menu,0,0,1
31,Food,Great place for a fun group dinner,0,0,1
32,Staff,The staff is really nice and friendly,0,0,1
33,Food,"If you're feeling like you want a treat or bad-for-you food, this carnival theme restaurant hits the spot",0,0,1
34,Chicken & Waffles Monte Cristo sandwich,I only ate half because it was so decadent,0,0,1
35,Coffee,good,0,0,1
36,Service,attentive,0,0,1
37,Brunch,Id go back for brunch if in the neighborhood,0,0,1
38,Menu,interesting menu items like their doughnut bacon burger,0,0,1
39,Food,sooo good (mostly because of the plentiful bacon pieces),0,0,1
40,Lighting,far too dim to read the menu at the dinner hour,1,0,0
41,Size,Tiny restaurant,1,0,0
42,Food,carnival-inspired foods,0,0,1
43,Tilt-a-whirl cars,you can sit in,0,0,1
44,Burgers,on a donut,0,0,1
45,Truffle popcorn,delicious,0,0,1
46,Funnel cake,delicious,0,0,1
47,Getting a table,hard,1,0,0
48,Service,top notch,0,0,1
49,Food,creative and interestingly good,0,0,1
50,Atmosphere,one of the places I tend to go to in the area,0,0,1
51,Restaurant size,Adorable 30-seat restaurant,0,0,1
52,Carnival twist,carnival twist,0,0,1
53,Ringmaster sandwich,maximal chances at cardiac arrest,1,0,0
54,Sweet potato tater tots,so good you'll keep eating them even if you want to die,0,0,1
55,Tilt-a-whirl,try to sit at the tilt-a-whirl,0,0,1
56,Tater tots,Fantasy-turned-reality,0,0,1
