,aspect,opinion,positive
0,Breakfast,Classic breakfast,1
1,Beach bums,Classic beach bums,1
2,Food,Best food,1
3,Beach vibe,Awesome,1
4,Main St,right off,1
5,Breakfast,favorite,1
6,H.B treasure,favorite,1
7,Overall satisfaction,Delicious and Delightful everything is good here,1
8,Service,Big Smile,1
9,Overall satisfaction,what a great place!,1
10,Work ethic,Ryan and Timmy work hard and surf hard,1
11,Owner,Michelle Turner has raised a fantastic family,1
12,Location,a main stop when hungry in surf city,1
13,Breakfast food,Simple good breakfast food,1
14,Prices,great prices,1
15,Scenery,great scenery,1
16,Service,great service,1
17,Sugar Shack,Dont miss Sugar Shack for breakfast in Huntington Beach,1
18,Price,great,1
19,Food,wonderful,1
20,Service,great,1
21,Ambiance,mom and pop feel,1
22,Overall satisfaction,I really enjoyed it,1
23,Specials,Nothing too special,1
24,Expectations,just exactly what you want,1
25,Nostalgia,brings back great memories,1
26,Food,never a disappointment,1
27,Ambiance,great,1
