,aspect,opinion,negative,neutral,positive
0,Price,A bit expensive,1,0,0
1,Lunch specials,reasonable,0,0,1
2,Food,Excellent food,0,0,1
3,Food,great food,0,0,1
4,Value,great value,0,0,1
5,Appetizers,Roasted Quail and Ha Long Bay Soup were good,0,0,1
6,Entrees,"Shaking Beef was pretty good, but the Halibut was great",0,0,1
7,Side dish,Empress rice was so-so,1,0,0
8,Atmosphere,nice second date place,0,0,1
9,Service,waitress was helpful,0,0,1
10,Food,Great food,0,0,1
11,Cocktails,Great cocktails,0,0,1
12,Reservations,Highly recommended,0,0,1
13,Food,Tasty,0,0,1
14,Menu,doesn't change,1,0,0
15,Value for money,one meal here for life is good enough,0,0,1
16,Food,Superb food,0,0,1
17,Menu,So many fun items in the menu,0,0,1
18,Desserts,Superb desserts,0,0,1
19,Vietnamese coffee,Superb Vietnamese coffee,0,0,1
20,Restaurants in Palo Alto,One of my favorite restaurants in Palo Alto,0,0,1
21,Asian fusion,Great,0,0,1
22,Staff,fabulous,0,0,1
23,Food,yummy,0,0,1
24,Price,Typical Palo Alto prices,0,0,1
25,Price,Kind of pricey,1,0,0
26,Food,really delicious food,0,0,1
27,Lemongrass sea bass,favorite,0,0,1
28,Food,Amazing,0,0,1
29,Coffee,try the coffee for dessert,0,0,1
30,Food,interest food,0,0,1
31,Service,friendly service,0,0,1
32,Overall,way too cool for mere mortals,1,0,0
33,Food,terrific,0,0,1
34,Crowds,always crowded,1,0,0
35,Restaurant,no secret,0,0,1
36,Small plates,shared at the table are the way to go,0,0,1
37,Menu,you can't go wrong with anything on the menu,0,0,1
38,Overall satisfaction,one of the best,0,0,1
39,People watching,great people watching place,0,0,1
40,Food,Excellent,0,0,1
41,Price,expensive,1,0,0
42,Price,half off,0,0,1
43,Decor,standout,0,0,1
44,Service,standout,0,0,1
45,Authenticity,Not all of it is authentic,1,0,0
46,Pho,$15 Pho looks horribly overpriced,1,0,0
47,Food,Wonderfully delicious,0,0,1
48,Vietnamese restaurant,very good,0,0,1
49,Overall satisfaction,good,0,0,1
50,Price,a little overpriced,1,0,0
51,Food,I didn't really care for any of it,1,0,0
52,Service,The service was strong,0,0,1
53,Facilities,If you need a nice room for a social event they know how to facilitate that,0,0,1
54,Overall satisfaction,outstanding restaurant,0,0,1
55,Vegetarian & vegan friendliness,"waiters/waitresses are knowledgeable about such options, & the menu is marked clearly for vegetarians",0,0,1
56,Food portions,not large,1,0,0
57,Food quality,very good,0,0,1
58,Basil tofu,always good,0,0,1
59,Banh mi roti,always good,0,0,1
60,Cashew fried tofu,one of the best dishes ever,0,0,1
61,Roasted brussel sprouts with chestnuts,very good,0,0,1
62,Taro dumplings,"not bad, but would not order them again - they were bland",1,0,0
63,Taro root rolls,good,0,0,1
64,Cauliflower soup,"bland, but had a good buttery taste",1,0,0
65,Coconut tapioca desert,ok,0,1,0
66,Lychee orange salad,"good, but light on the lychee",0,0,1
67,Taro root rolls,like any spring roll,0,1,0
68,Grilled hazelnut asparagus,"good, but not heavy on hazelnut",0,0,1
69,Garlic friend rice,double the portion of the coconut rice,0,0,1
70,Braised winder vegetables,bland,1,0,0
71,Banh ram,not good at all,1,0,0
72,Vigin mojito,good,0,0,1
73,Lychee lemonade,good,0,0,1
74,Watermelon lemonade,good,0,0,1
75,Crowdedness,A bit crowded,1,0,0
76,Price,expensive,1,0,0
77,Food,good by Palo Alto standards,0,0,1
78,Food,Fantastic,0,0,1
79,Shaking beef,always good,0,0,1
80,Overall satisfaction,the best of palo alto,0,0,1
81,Ambiance,Nice ambiance and attentive service,0,0,1
82,Starters,enjoyed the starters more than the entrees,0,0,1
83,Papaya salad with beef,great,0,0,1
84,Shaking beef,"tasty and tender, but not spectacular",0,0,1
85,Vietnamese coffee,always good,0,0,1
86,Overall satisfaction,great addition to palo alto,0,0,1
87,French/Vietnamese combination,an example of how it can and should be done,0,0,1
88,Small sharing plates,great idea and work very well especially for two,0,0,1
89,Food,Great food,0,0,1
90,Availability,Get a reservation because it's always pretty full,1,0,0
91,Overall satisfaction,Great place,0,0,1
92,Dinner experience,loved,0,0,1
93,Food,excellent,0,0,1
94,Service,good,0,0,1
95,Atmosphere,great,0,0,1
96,Value for money,"$72/head including drinks, food, dessert, tax and tip",0,0,1
97,Grilled Pork Lettuce Cups,loved,0,0,1
98,Ha Long Bay Soup,loved,0,0,1
99,Shaking Beef,loved,0,0,1
100,Calamari,really good,0,0,1
101,Tuna Tartare,really good,0,0,1
102,Private room,"enjoyed a three course tasting menu, exceptional service and flavorful food",0,0,1
103,Ha long bay soup,crab wontons in a coconut-corriander consomme,0,0,1
104,Shaking beef,one of my favorite dishes,0,0,1
105,Curried long beans,with red chili,0,0,1
106,Jasmine rice,sticky and moist,0,0,1
107,Service,impeccable,0,0,1
108,Location,"I'm so distraught that I live in Los Angeles, too far from this incredible restaurant",1,0,0
109,Tuna tartare,excellent,0,0,1
110,Tea leaf beef,excellent,0,0,1
111,Shrimp cupcakes,excellent,0,0,1
112,Clay pot cod,in love,0,0,1
113,Emperors rice,in love,0,0,1
114,Prawns,in love,0,0,1
115,Hamachi,in love,0,0,1
