,aspect,opinion,negative,neutral,positive,unknown
0,Pizzas,havent had an opportunity to try,0,1,0,0
1,Sub sandwiches,very good,0,0,1,0
2,Hot pastrami,very good,0,0,1,0
3,Beer,reasonable,0,0,1,0
4,Crowds,Never too crowded,0,0,1,0
5,Service,fast and friendly,0,0,1,0
6,Price,the price is right,0,0,1,0
7,TV,HDTV and wide screen,0,0,1,0
8,Food,good,0,0,1,0
9,Ambiance,smells like s**t,1,0,0,0
10,Indian curries on pizza,"Love the concept, love the food",0,0,1,0
11,Hero,yummy,0,0,1,0
12,Saag pizza with paneer,yummy,0,0,1,0
13,Value for money,2 large pizzas for $25 deal,0,0,1,0
14,Pizza,one of the best,0,0,1,0
15,Combo pizza,delish,0,0,1,0
16,Subs,like their subs,0,0,1,0
17,Meatball sandwich,nice,0,0,1,0
18,Turkey sandwich,nice,0,0,1,0
19,Owners,really nice people,0,0,1,0
20,Overall experience,Two thumbs up,0,0,1,0
21,Overall satisfaction,Its really good,0,0,1,0
22,Indian pizzas,love the Indian pizzas here,0,0,1,0
23,Tasty Subs and Pizza n Curry,real good place to have Indian pizzas,0,0,1,0
24,Pizza,neat blend of Italian n Indian style,0,0,1,0
25,Service,awesome,0,0,1,0
26,Food,Never had food in house,0,0,0,1
27,Environment,energetic n happening,0,0,1,0
28,Subs,Good,0,0,1,0
29,Bread,fresh,0,0,1,0
30,Service,fast and excellent,0,0,1,0
31,Convenience,super convenient,0,0,1,0
32,Prices,Great prices,0,0,1,0
33,Deals,Good deals after 5pm,0,0,1,0
34,Customer service,Announce if u are u Giants fan and youll be treated right,0,0,1,0
35,First impression,"1st time here, already know that Ill be back",0,0,1,0
36,Price,2 large pizzas for $25,0,0,1,0
37,Food,Hero pizza was delicious,0,0,1,0
38,Taste,If you hate curry then id probably pass on it,1,0,0,0
39,Greasiness,pizzas arent super greasy,0,0,1,0
40,Condiments,"condiments are plentiful, and free",0,0,1,0
41,Indian pizza,love,0,0,1,0
42,Tandoori chicken pizza,has a great kick to it,0,0,1,0
43,Dabaang (Pav bhaji),wasn't so great,1,0,0,0
44,Dhoom (. Tandoor ),decent,0,0,1,0
45,Menu,extensive and interesting,0,0,1,0
