,aspect,opinion,error,negative,neutral,positive
0,Service,"Great service, our waiter was fast and kept us topped off",,0,0,1
1,Food,"The food was good, I had a perfectly cooked steak, delicious and super tender. My girlfriend had some pasta dish, she felt it was a tad dry for her taste, but I liked it. We took some cheesecake home, which was delicious",,0,0,1
2,Selection,can be overwhelming sometimes,,1,0,0
3,Salmon,excelent,,0,0,1
4,Overall satisfaction,Great,,0,0,1
5,Selection,insane,,0,0,1
6,Tropical smoothie,fantastic,,0,0,1
7,Chicken strips,fantastic,,0,0,1
8,Homemade blue cheese dressing,fantastic,,0,0,1
9,Ahi tempura rolls,fantastic,,0,0,1
10,Safety,"Recognized one of the waiters as a convicted violent offender, an offender now on parole",,1,0,0
11,Overall satisfaction,"Very disappointed, never will return",,1,0,0
12,Overall satisfaction,This place is awsome great service great food the people are very nice to you,,0,0,1
13,Cheesecake,bomb af,,0,0,1
14,Portion size,big plates,,0,0,1
15,Food,very good food,,0,0,1
16,Variety,large variety,,0,0,1
17,Wait time,suppose to be an hour wait it was more like an hour and 20min for a party of two,,1,0,0
18,Service,after they call your name they set you aside on anothor line! about 15min wait there again,,1,0,0
19,Service,Two more party's of two sat next to us as we sat there for 10 min NO ONE came up to us to tell us someone will be right with you,,1,0,0
20,Service,a waitress did help the two couple's RIGHTT AWAY that were seated in just next to us took there orders for drinks,,0,0,1
21,Management,I walked out right in front of the MANAGER and the girl that I kept asking how long both CARELESS they new exactly who I was and how long it took to get me a table,,1,0,0
22,Management,when I returned back to get validated for parking the girl at the front desk said wich table I said I just WALKED OUT ! OF MY TABLE BECAUSE WE BEEN SITTING THERE FOR 20 MIN NO ONE IS HELPING US,,1,0,0
23,Management,all she said 'OH IM SORRY ' CARELESS rude ! DINT BOTHER TO CALL THE MANAGER TO FIX THIS,,1,0,0
24,Overall experience,The cheesecakes factory in glendale ruined it,,1,0,0
25,Overall satisfaction,"Cheesecake is great. It blows my mind a place that charges $17 for orange chicken can actually bring out something that's been cooked till it was dry? Come on, how can they screw up chicken?",,1,0,0
26,Food,"The Cheesecake is amazing, the food is absolute crap",,1,0,0
27,Menu,The only redeeming quality is the large menu,,0,0,1
28,Orange chicken,my chicken was so dry and tough I almost choked several times while trying to swallow what my jaw grew too tired too chew,,1,0,0
29,Chicken pasta,my girlfriends pasta was mediocre at best,,1,0,0
30,Value for money,For the price you are getting absolutely ripped off,,1,0,0
31,Homemade pasta,We both agreed our homemade pasta that we put together for $8~ made the $18 plate we paid for look like something from a fast food joint,,0,0,1
32,Food,a lot of good grub,,0,0,1
33,Cheesecake,cheesecake,,0,0,1
34,Service,great service,,0,0,1
35,Steak,delicious and juicy,,0,0,1
36,Value for money,didn't think twice about the money spent,,0,0,1
37,Cheesecake,bomb cheesecake,,0,0,1
38,Waiter service,"A waiter came a bit early and cleared our table of everything, forcing us to call for a manager. He was so nice he cut our dinner charge way more than he had to.",,1,0,0
39,Food,The food was great,,0,0,1
40,Atmosphere,the atmosphere divine,,0,0,1
41,Visits,"aside from that one waiter, our visits were great",,0,0,1
42,Food,Just Delicious,,0,0,1
43,Menu,huge,,0,0,1
44,Shopping,able to eat from their huge menu and then shopping,,0,0,1
45,Movies,spending time with my hubby at the movies,,0,0,1
46,Validation,validate for an hour or hour and a half I think,,0,0,1
47,Staff,super friendly and always willing to help meet your needs,,0,0,1
48,Crowds,It can get pretty packed on weekend evenings and especially on holidays,,1,0,0
49,Expectations,Went in there with high expectations,,0,0,1
50,Overall satisfaction,left disappointed,,1,0,0
51,Order fulfillment,took forever to fulfill,,1,0,0
52,Service,mediocre,,1,0,0
53,Architecture and design,great architecture and design,,0,0,1
54,Food safety,two of my friends got food poisoning from something here,,1,0,0
55,Food,"horrible food and spotty service, or delicious dishes and attentive waitstaff",,1,0,0
56,Food,wilted greens and were making a sandwich for the first time,,1,0,0
57,Service,up to TWO HOURS here,,1,0,0
58,Service,fast and efficient,,0,0,1
59,Service,"chill and witty, offering refreshingly honest recommendations",,0,0,1
60,Food,out of the kitchen at a quick pace,,0,0,1
61,Avocado Eggrolls,delicious vegetarian option,,0,0,1
62,BBQ Chicken Pizza,good,,0,0,1
63,Red Velvet Cheesecake,you will seriously go insane eating this,,0,0,1
64,Lemon Raspberry Cream cheese Cake,tastes like it's a light dessert,,0,0,1
65,Chicken marsalla,worst I have ever had,,1,0,0
66,Sauce,oiled and bland,,1,0,0
67,Chicken,seasoned had no taste,,1,0,0
68,Wifes food,ok but at nearly $20 per plate I expected more,,1,0,0
69,Ambiance,"far too busy for my taste, I was barely able to get to the bathroom through the crowd",,1,0,0
70,Service,slow,,1,0,0
71,Place,normal place to hang out with friends,,0,0,1
72,Cheese cake,liked the cheese cake,,0,0,1
73,Entree,just normal,,1,0,0
74,Service,good,,0,0,1
75,Overall experience,Excellent,,0,0,1
76,Service,very good,,0,0,1
77,Food,addicting,,0,0,1
78,Recommendation,a must,,0,0,1
79,Food,good,,0,0,1
80,Reservations policy,won't take reservations,,1,0,0
81,Practices,Stupid practice,,1,0,0
82,Reason,What's the reason Cheesecake Factory,,1,0,0
83,Overall opinion,Makes you a little cheesy,,1,0,0
84,The Cheesecake Factory,absolutely beautiful,,0,0,1
85,Food,tons of delicious food to choose from,,0,0,1
86,Staff,super nice,,0,0,1
87,Ambiance,sitting outside and looking at the beautiful waterfall as I am eating and enjoying my dinner,,0,0,1
88,Eatery,Great,,0,0,1
89,Corn fritters,no more,,1,0,0
