,aspect,opinion,negative,positive
0,Food,awesome,0,1
1,Hot wings,bomb,0,1
2,Chili cheese fries,bomb,0,1
3,Burgers,bomb,0,1
4,Value,give a lot for less,0,1
5,Freshness,fresh,0,1
6,Bun,toast the bun,0,1
7,Ranch,free ranch for your fries,0,1
8,Wish,wish to open one in vegas,0,1
9,Super Burger Special,more Bang for your Buck,0,1
10,Super Burger Special,Awesome,0,1
11,Food,First of all food is great,0,1
12,Pastrami,shrunk in size,1,0
13,Price,The price has remained the same,1,0
14,Hercules Burgers,For our pastramis,0,1
15,Burgers,VOLCANO BURGER!!!!,0,1
16,Overall satisfaction,Great place,0,1
17,Avocado chicken sandwich,best ever,0,1
18,Greek chicken salad,sooo good,0,1
19,Location,Great place close to the high-school,0,1
20,Food,pretty good especially the wings,0,1
