,aspect,opinion,negative,neutral,positive
0,Overall satisfaction,Good for a drink,0,0,1
1,Food,terrible,1,0,0
2,Service,terrible,1,0,0
3,Views,THE most jaw-dropping views of the city,0,0,1
4,Martinis,most extensive list of creatively-named martinis in town,0,0,1
5,Price,drinks are $14 a piece,1,0,0
6,Live music,live music on the weekends,0,0,1
7,Summer movie nights,summer movie nights,0,0,1
8,Brunch buffet,western and asian options as well as a caviar bar,0,0,1
9,View,spectacular,0,0,1
10,Ambiance,relaxed with live piano player,0,0,1
11,Price,pricey but worth it,0,0,1
12,View,didnt disappoint,0,0,1
13,Cocktails,good too to be honest,0,0,1
14,Film night,pretty random,1,0,0
15,Overall,would score higher than the categories above,0,0,1
16,Live jazz,hard to beat,0,0,1
17,Dance floor,Great,0,0,1
18,Food & drinks,expensive,1,0,0
19,Waiters,not that attentive,1,0,0
20,Venue,Worth it,0,0,1
21,Scenery,Worth it,0,0,1
22,Live band,Worth it,0,0,1
23,Views,great,0,0,1
24,Overall satisfaction,Incredible,0,0,1
25,View,Best view of the city on a clear day,0,0,1
26,Restroom,up a steep carpeted flight of stairs,1,0,0
27,Views,spectacular views of the city,0,0,1
28,Cocktails and food,high quality,0,0,1
29,Live music,a lot of fun,0,0,1
30,Band,plays a variety of music,0,0,1
31,View of the city,best view of the city,0,0,1
32,SF view,good,0,0,1
33,Food,not the top notch,1,0,0
34,Atmosphere,good,0,0,1
35,Service,no hostess to seat us,1,0,0
36,Bar,very small bar with about 20 seats,1,0,0
37,Ambiance,It was so dark in the restaurant that we had trouble seeing the menus,1,0,0
38,Appetizer,The popcorn tasted stale and wasnt warm,1,0,0
39,Chorizo dip,The dip was very good,0,0,1
40,Nacho type chips,cold and stale,1,0,0
41,Overall experience,"poor service and poor food for this upscale, supposedly legendary top of the mark restaurant",1,0,0
42,View,amazing panaromic view of San Franciso,0,0,1
43,Food,pretty decent,0,0,1
44,Vegetarian options,"paneer skewer, potato sliders and the flat bread were good",0,0,1
45,Martinis,famous for its wide variety of martinis,0,0,1
46,Price,on the higher side,1,0,0
47,Overall satisfaction,top off the mark,0,0,1
48,Price,a bit pricey,1,0,0
49,Martinis,huge list of martinis (100 different ones),0,0,1
50,Only in San Francisco martini,liked,0,0,1
51,View,cant really comment because it was cloudy and rainy the night I was there,0,1,0
52,Recommendation,Id recommend coming here if you want a fancy martini or need to impress someone special,0,0,1
53,Overall satisfaction,overrated,1,0,0
54,Drinks,expensive and not very good,1,0,0
55,Ambiance,no ambiance and the decor is boring,1,0,0
56,View of sunset,great view of the sunset,0,0,1
57,Views,I cant help but give it 5 stars for the views and lounge,0,0,1
58,Ambiance,It wasn't busy. They have drinks but its not a loud crazy bar place. I guess you could say its sophisticated :),0,0,1
59,Service,"nice, not the best, but above par",0,0,1
60,Bar snacks,"They did run out of bar snacks late one night, so don't count on being able to munch at the same time as drinking",1,0,0
61,Jazz,big band jazz,0,0,1
62,View,classic view of the San Francisco Bay,0,0,1
63,Food,mediocre,1,0,0
64,Service,"slow, rude or both",1,0,0
65,Cocktails,average and pricey,1,0,0
66,Vibe,old school vibe,0,0,1
67,The View bar,superior,0,0,1
68,Price,Completely overpriced,1,0,0
69,Bud light,8 bucks,1,0,0
70,Mojito,worst Ive ever had,1,0,0
71,Ambiance,kicked out because I was wearing shorts so I had to go back to my room for pants,1,0,0
72,Atmosphere,"This isnt really a bar, its a place to come get a water and watch the sunset",1,0,0
73,Views,One of the best views in the city,0,0,1
74,Cocktail bar,not a good cocktail bar,1,0,0
75,Views,One of the best views in the city,0,0,1
76,Service,terrible service,1,0,0
77,Drinks,overpriced drinks,1,0,0
78,The Top of the Mark,An iconic reminder of yesteryear,0,0,1
79,Wait staff,Some of the worst in the city,1,0,0
80,Location,On top of the world,0,0,1
