,aspect,opinion,negative,neutral,positive
0,Food,extremely tasty,0,0,1
1,Ambiance,low-brow,1,0,0
2,Upstairs,"low ceiling, tiny, poor ventilation, but there are tables and chairs, so its got that going for it",1,0,0
3,Health code violations,recently cited and at risk of permanent shutdown,1,0,0
4,#17,Loved,0,0,1
5,Food,Great food,0,0,1
6,Atmosphere,hole in the wall,0,0,1
7,Imperial roll,delicious,0,0,1
8,Food,spicy and very good overall,0,0,1
9,Portion size,fairly large,0,0,1
10,Value for money,$6,0,0,1
11,Neighborhood,venturing in the neighborhood,1,0,0
12,Fame,Julia Child once ate here and liked it,0,0,1
13,Chef,with the backwards baseball cap and face scar who mans the griddle,0,0,1
14,Feeling,"I got when eating in a train station in Eastern Thailand on my way to Cambodia - sweaty, dirty, greasy, with spice clogging my gullet and a container full of plastic spoons by my side. LOVE IT HERE",0,0,1
15,Business status,No longer in business,1,0,0
16,Food,Very authentic,0,0,1
17,Price,reasonable,0,0,1
18,Portion size,biggest portions Ive ever seen for less than $10,0,0,1
19,Decor,"shabby SoMa/Tenderloin, that is, quite shabby",1,0,0
20,Service,I had a difficult time understanding the staffs speech,1,0,0
21,Food,inauthentic and greasy,1,0,0
22,Price,Super cheap,0,0,1
23,Food,delicious,0,0,1
24,Portion size,huge,0,0,1
25,Restaurant,famous for being a dive,1,0,0
26,Food,food is good,0,0,1
27,Neighborhood,horrible neighborhood,1,0,0
28,,i love that,0,0,1
29,Location,journey here makes the experience better,0,0,1
30,Location,located on sixth Street which is... In the ghettoooo,1,0,0
31,Service,surprisingly great service,0,0,1
32,Water,my water never reached half way and I had about 5 cups,0,0,1
33,Imperial rolls,different from what I usually have but delicious and perfectly crunchy,0,0,1
34,Hanoi style pho,delicious,0,0,1
35,Broth,flavorful,0,0,1
36,Meat,tender,0,0,1
37,Noodles,al dente,0,0,1
38,Food,Imperial Rolls are a true gem,0,0,1
39,Vermicelli noodles with fried pork,so good,0,0,1
40,Eggrolls,so good,0,0,1
41,Chicken fried rice,a staple,0,0,1
42,Shrimp Fried Rice,a staple,0,0,1
43,VN style mixed noodles,a staple,0,0,1
44,Chicken Curry,a staple,0,0,1
45,VN Sauteed Beef cubes,a staple,0,0,1
46,Food,Awesomely tasty,0,0,1
47,Portions,out of this world,0,0,1
48,Atmosphere,not the cleanest place - eating in experience could be better,1,0,0
49,Value for money,At these prices its not really expected,0,0,1
50,Price,Cheap,0,0,1
51,Speed,fast,0,0,1
52,Quality,what I ordered just wasn't good,1,0,0
53,Recommendation,There's better Vietnamese food elsewhere,1,0,0
54,Location,a great addition to sleazy 6th,0,0,1
55,Food,excellent,0,0,1
56,Price,great,0,0,1
57,Service,decent amount of service,0,0,1
58,Spring Rolls,Delicious,0,0,1
59,Fish Ball Soup,Delicious,0,0,1
60,Vietnamese restaurants,one of the very best,0,0,1
61,Pretentions,no pretentions whatsoever,0,0,1
62,Family,a family that knows their cuisine,0,0,1
63,Neighborhood,Sketchy neighborhood is an understatement - but its only one building shy of Market Street so theres no reason to be afraid,1,0,0
64,Decor,lacks in every possible interpretation of that word,1,0,0
65,Food,stupendous,0,0,1
66,Julia Child,ate there back in the day and the food/family have not changed since,0,0,1
67,Ive,been eating there since 1986,0,0,1
68,Food,The food is really great,0,0,1
69,Waiting time,get there earlier than you want to eat; the line can be long,1,0,0
70,Menu items,"17, 20, 24",0,0,1
71,Overall satisfaction,love this place,0,0,1
72,Food,cheap and delicious,0,0,1
73,Safety,Dont attend unless you are a bit street wise though,1,0,0
74,Recommendation,"I did recommend it to my 80 year old mom on her trip to SFMOMA, and she loved it",0,0,1
75,Character,Julia Child also famously enjoyed a meal here,0,0,1
76,Overall satisfaction,left this place unimpressed,1,0,0
77,Imperial rolls,good,0,0,1
78,Dipping fishsauce,just okay,1,0,0
79,Fried rice,pretty good,0,0,1
80,Egg soup,a little over salted,1,0,0
81,Fried fish with sweet and sour sauce,felt like it was missing something,1,0,0
82,Bo Luc Lak,Ive had way better,1,0,0
83,Sweet and Sour fish soup,not sour at all,1,0,0
84,Most dishes,skipped some important ingredients,1,0,0
85,Vermicelli bowls,would have thought it was better,0,0,1
86,Price,Cheap,0,0,1
87,Quality,greasy,1,0,0
88,Cuisine,Vietnamese,0,1,0
89,Effectiveness,filling,0,0,1
90,Excitement,not very exciting,1,0,0
91,Home town fav,"I know they got shut down, and I really miss it",1,0,0
92,"Havent been in SF for a while, but I hope it can reopen",positive,0,0,1
93,Pho,Delicious,0,0,1
94,Service,nice quick service,0,0,1
95,Prices,fantastic prices,0,0,1
96,Julia Child,ate here,0,0,1
97,Food,Amazing food,0,0,1
98,Neighborhood,"Dont be scared to go around the neighborhood, because its an adventure",0,0,1
99,One of the best Vietnamese places out there,The ginger fish definitely hits the spot,0,0,1
100,Spring rolls,very good,0,0,1
101,Ga xa,bland,1,0,0
102,Atmosphere,dicey neighborhood,1,0,0
103,Inside of the restaurant,quiet enough and feels safe,0,0,1
104,Cooks,can watch the cooks at work,0,0,1
