,aspect,opinion,negative,neutral,positive
0,Italian restaurant,Very average,1,0,0
1,Gnocchi,below average,1,0,0
2,Servers,did their best,0,0,1
3,Customer service,"Terrible, terrible, TERRIBLE experience",1,0,0
4,Restaurant staff,no clue when the manager was going to be in,1,0,0
5,Restaurant staff,would give me any information,1,0,0
6,Restaurant manager,strolls in and completely ignores me,1,0,0
7,Restaurant manager,"disrespectful, rude and unbelievably unreliable",1,0,0
8,Restaurant food,Everyone loves our food,0,0,1
9,Atmosphere,lively,0,0,1
10,Live jazz,enjoyed,0,0,1
11,Diverse clientele,enjoyed,0,0,1
12,Food,unexceptional,1,0,0
13,Fresh pasta,unavailable,1,0,0
14,Salmon filet,cooked correctly but sauce too strongly flavored,1,0,0
15,Spaghetti and chicken,found to be adequate but bland,1,0,0
16,Many other restaurants,yet to try,1,0,0
17,Expectations,don't expect to return soon,1,0,0
18,Food,high aspirations but underdelivers,1,0,0
19,Food,pretty but bland and unremarkable,1,0,0
20,Service,Great service,0,0,1
21,Menu,held much promise,0,0,1
22,Pollo Saltimbocca Con Prosciutto Di Parma,"sounds really good, right? Wrong. Basically what I got was half a chicken breast pounded out and overcooked to shoe-leather consistency, with a razor thin prosciuitto topping (not wrapping) and congealed sauce without any hint of Madeira whatsoever. Undercooked pieces of broccoli (2) and slices of squash (3) with a daub of mashed potato didnt help to round out this ensemble much either. Mozzarella, sage and shallots were a no show.",1,0,0
23,Price,overpriced,1,0,0
24,Service,wildly enthusiastic manager/owner,0,0,1
25,Italian cuisine,dont waste your time and money here,1,0,0
26,Atmosphere,loud and boisterous,0,0,1
27,Food,yummy,0,0,1
28,Service,good,0,0,1
29,Entertainment,waiters sing with gusto,0,0,1
30,Owner,puts arm around me and thanks me for my enthusiasm,0,0,1
31,Ravioli,delicious,0,0,1
32,Food,Bruschetta Milano was really good,0,0,1
33,Food,Pollo Saltimboca was awesome,0,0,1
34,Food,Crème Brule was also very good,0,0,1
35,Service,The service was great,0,0,1
36,Service,The waiters and waitresses were very pleasant and attentive,0,0,1
37,Atmosphere,The restaurant is managed by a family and they were always there interacting friendly with customers and making sure everything was perfect,0,0,1
38,Atmosphere,One of them also sings and sings really well,0,0,1
39,Atmosphere,It was a lot of fun,0,0,1
40,Recommendation,"I do recommend the place for everyone, including couples, families or friend groups",0,0,1
41,Quality of food,good-quality Italian food,0,0,1
42,Originality,nothing out of the ordinary,1,0,0
43,Staff,one of the staff (the owner?) often sings,0,0,1
44,Overall experience,pretty good,0,0,1
45,Seafood,excellent,0,0,1
46,Dessert,afogato was great,0,0,1
47,Cocktail,enjoyed their cocktail Azzurro Mix,0,0,1
48,Food,Good food with a mix of choices,0,0,1
49,Prime rib,Would get the prime rib instead of the chicken,0,0,1
50,Waiter service,The waiters were busy but were able to keep up with the Friday rush,0,0,1
51,Food,Good classic Italian food,0,0,1
52,Italian food,Pretty decent,0,0,1
53,Eggplant primavera,I had the eggplant primavera,0,0,1
54,Chicken parm,husband had the chicken parm,0,0,1
55,Overall experience,Id go again,0,0,1
56,Food,Delicious Italian food,0,0,1
57,Services,good,0,0,1
58,Risotto,enjoyed,0,0,1
59,Steak,enjoyed,0,0,1
60,Caprese+tomato+mozzarella,enjoyed,0,0,1
61,Live music,on Friday evening,0,0,1
62,Atmosphere,very fun atmosphere to be in especially on birthday,0,0,1
63,Service,great,0,0,1
64,Food portion,can vary a lot,1,0,0
65,Atmosphere,excellent,0,0,1
66,Food,"just mediocre, nothing special but not terrible",1,0,0
67,Overall satisfaction,One of my favorite places,0,0,1
68,Service,Friendly service,0,0,1
69,Food,good food,0,0,1
70,Overall satisfaction,favorite Italian restaurant,0,0,1
